,ndc_description,ndc_description_agg,score
406,EZETIMIBE 10MG TABLET,,-1
407,FLUTICASONE PROP 50MCG SPRAY,,-1
408,RISEDRONATE SODIUM 150MG TABLET,RISEDRONATE SODIUM 150MG ORAL,91
409,FLUVOXAMINE MALEATE 50MG TABLET,FLUVOXAMINE MALEATE 50MG ORAL,91
410,GS ALLERGY RELIEF 4MG TABLET,,-1
411,OLANZAPINE 5MG TABLET,,-1
412,GLIMEPIRIDE 2MG TABLET,GLIMEPIRIDE 2MG ORAL,86
413,ESOMEPRAZOLE MAG DR 40MG CAP,,-1
414,ISOSORBIDE DINITRATE 20MG TABLET,ISOSORBIDE DINITRATE 20MG ORAL,91
415,LISINOPRIL 5MG TABLET,,-1
416,HYSINGLA ER 80MG TABLET,,-1
417,OLANZAPINE 5MG TABLET,,-1
418,WARFARIN SODIUM 2.5MG TABLET,WARFARIN SODIUM 2.5MG ORAL,89
419,ROPINIROLE HCL ER 4MG TABLET,,-1
420,MIDODRINE HCL 2.5MG TABLET,,-1
421,TOPIRAMATE 200MG TABLET,TOPIRAMATE 200MG ORAL,86
422,ACNE MEDICATION 5% LOTION,,-1
423,SERTRALINE HCL 50MG TABLET,,-1
424,ISOSORBIDE MONONIT ER 60MG TB,,-1
425,GS IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
426,VALACYCLOVIR HCL 500MG TABLET,,-1
427,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
428,FENOFIBRATE 134MG CAPSULE,,-1
429,LAMIVUDINE 100MG TABLET,LAMIVUDINE 100MG ORAL,86
430,GLIPIZIDE-METFORMIN 5-500MG,GLIPIZIDE AND METFORMIN HYDROCHLORIDE 2.5MG;500MG ORAL,96
431,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
432,ARIPIPRAZOLE 2MG TABLET,ARIPIPRAZOLE 2MG ORAL,86
433,BIMATOPROST 0.03% EYE DROPS,,-1
434,HYDROCORTISONE 5MG TABLET,HYDROCORTISONE 5MG ORAL,88
435,ONDANSETRON HCL 8MG TABLET,ONDANSETRON 8MG ORAL,86
436,METOLAZONE 5MG TABLET,,-1
437,BUPROPION HCL SR 200MG TABLET,,-1
438,ONDANSETRON HCL 4MG/2ML VIAL,ONDANSETRON 4MG ORAL,86
439,AVODART 0.5MG SOFTGEL,,-1
440,CARBAMAZEPINE 100MG/5ML SUSP,CARBAMAZEPINE 100MG/5ML ORAL,90
441,CELECOXIB 400MG CAPSULE,CELECOXIB 400MG ORAL,86
442,GENTAMICIN 3MG/ML EYE DROP,,-1
443,LAMICTAL ODT 100MG TABLET,LAMICTAL ODT 100MG ORAL,88
444,LOXAPINE 50MG CAPSULE,,-1
445,FINASTERIDE 1MG TABLET,FINASTERIDE 1MG ORAL,86
446,ALPRAZOLAM 2MG TABLET,,-1
447,BELBUCA 600MCG FILM,,-1
448,PRIMIDONE 50MG TABLET,,-1
449,CITALOPRAM HBR 20MG TABLET,,-1
450,GLYBURID-METFORMIN 1.25-250MG,,-1
451,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
452,AMLODIPINE-ATORVAST 10-20MG,,-1
453,AMLODIPINE-OLMESARTAN 5-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,96
454,SPIRONOLACTONE 100MG TABLET,SPIRONOLACTONE 100MG ORAL,89
455,ULTRAM 50MG TABLET,,-1
456,FOLIC ACID 1MG TABLET,,-1
457,FEXOFENADINE HCL 180MG TABLET,,-1
458,TOPROL XL 50MG TABLET,,-1
459,LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
460,OLMESARTAN MEDOXOMIL 40MG TABLET,OLMESARTAN MEDOXOMIL 40MG ORAL,91
461,LISINOPRIL 10MG TABLET,LISINOPRIL 10MG ORAL,86
462,ALYACEN 1-35 28 TABLET,,-1
463,MESALAMINE 800MG DR TABLET,MESALAMINE 800MG ORAL,86
464,JANTOVEN 5MG TABLET,,-1
465,CHLOROQUINE PH 500MG TABLET,,-1
466,TINIDAZOLE 500MG TABLET,TINIDAZOLE 500MG ORAL,86
467,FOSINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
468,RIFAMPIN 150MG CAPSULE,,-1
469,PREDNISONE 5MG TABLET,,-1
470,HM ENEMA READY TO USE,,-1
471,PSEUDOEPHEDRINE ER 120MG TABLET,,-1
472,LAMIVUDINE HBV 100MG TABLET,LAMIVUDINE 100MG ORAL,86
473,EXFORGE HCT 10-320-25MG TABLET,,-1
474,ALCLOMETASONE DIPRO 0.05% CREAM,,-1
475,METOPROLOL SUCC ER 200MG TABLET,,-1
476,SOTALOL 120MG TABLET,,-1
477,INFANT PAIN RELIEF 160MG/5ML,,-1
478,SODIUM FLUORIDE 0.5MG(1.1MG),,-1
479,KETOCONAZOLE 200MG TABLET,KETOCONAZOLE 200MG ORAL,88
480,OFLOXACIN 0.3% EYE DROPS,,-1
481,BRIMONIDINE 0.2% EYE DROP,,-1
482,PROPAFENONE HCL ER 425MG CAP,,-1
483,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
484,GLYBURIDE 5MG TABLET,,-1
485,TOPROL XL 100MG TABLET,,-1
486,BIDIL TABLET,,-1
487,CETIRIZINE HCL 10MG CHEW TABLET,,-1
488,ESOMEPRAZOLE MAG DR 20MG CAP,,-1
489,RIFAMPIN 300MG CAPSULE,,-1
490,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
491,SM CLEARLAX POWDER,,-1
492,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
493,ARIPIPRAZOLE 5MG TABLET,ARIPIPRAZOLE 5MG ORAL,86
494,FETZIMA ER 20MG CAPSULE,,-1
495,CEPHALEXIN 500MG CAPSULE,,-1
496,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
497,VORICONAZOLE 200MG TABLET,VORICONAZOLE 200MG ORAL,88
498,EZETIMIBE 10MG TABLET,,-1
499,OLMESARTAN MEDOXOMIL 5MG TABLET,OLMESARTAN MEDOXOMIL 5MG ORAL,91
500,VALACYCLOVIR HCL 1 GRAM TABLET,,-1
501,BUTALB-ACETAMINOPHEN-CAFF 50-325-40 TABLET,,-1
502,METHYLPHENIDATE ER(LA) 20MG CP,,-1
503,DESVENLAFAXINE SUC ER 100MG,DESVENLAFAXINE 100MG ORAL,89
504,TRAMADOL HCL 50MG TABLET,,-1
505,ED A-HIST DM TABLET,,-1
506,CELECOXIB 200MG CAPSULE,CELECOXIB 200MG ORAL,86
507,METFORMIN HCL ER 500MG TABLET,,-1
508,"CYANOCOBALAMIN 10,000MCG/10",,-1
509,METFORMIN HCL 850MG TABLET,,-1
510,CHATEAL-28 TABLET,,-1
511,PACERONE 100MG TABLET,,-1
512,ENTRESTO 24MG-26MG TABLET,ENTRESTO 24MG;26MG ORAL,88
513,BUPROPION HCL SR 100MG TABLET,,-1
514,LEVOCETIRIZINE 2.5MG/5ML SOLUTION,,-1
515,TEKTURNA HCT 150-12.5MG TABLET,,-1
516,QC ACETAMINOPHEN 8-HR 650MG,ACETAMINOPHEN 650MG ORAL,88
517,SEROQUEL XR 300MG TABLET,,-1
518,RISPERIDONE 1MG TABLET,RISPERIDONE 1MG ORAL,86
519,CALCIPOTRIENE-BETAMETH DP OINT,,-1
520,CEFDINIR 125MG/5ML SUSP,CEFDINIR 125MG/5ML ORAL,88
521,DIVALPROEX SOD ER 500MG TABLET,,-1
522,MODAFINIL 100MG TABLET,MODAFINIL 100MG ORAL,86
523,ESCITALOPRAM 5MG TABLET,,-1
524,OXYCODONE HCL 20MG TABLET,,-1
525,SM GAS RELIEF 80MG TAB CHEWABLE,,-1
526,MORPHINE SULF ER 200MG TABLET,,-1
527,LOVASTATIN 10MG TABLET,LOVASTATIN 10MG ORAL,86
528,RISPERIDONE 3MG TABLET,RISPERIDONE 3MG ORAL,86
529,CLOBETASOL EMOLLIENT 0.05% CREAM,CLOBETASOL PROPIONATE (EMOLLIENT) 0.05% TOPICAL,89
530,LYRICA 100MG CAPSULE,,-1
531,MORPHINE SULF ER 30MG TABLET,,-1
532,TRAMADOL HCL 50MG TABLET,,-1
533,GABAPENTIN 800MG TABLET,GABAPENTIN 800MG ORAL,86
534,EVOTAZ 300MG-150MG TABLET,,-1
535,NABUMETONE 500MG TABLET,NABUMETONE 500MG ORAL,86
536,HYDROCORTISONE 2.5% LOTION,,-1
537,MEFLOQUINE HCL 250MG TABLET,,-1
538,FENOFIBRATE 134MG CAPSULE,,-1
539,PREDNISONE 10MG TABLET,PREDNISONE 10MG ORAL,86
540,JANUVIA 50MG TABLET,,-1
541,HYDROXYZINE HCL 50MG TABLET,,-1
542,QUETIAPINE FUMARATE 200MG TABLET,QUETIAPINE FUMARATE EQ 200MG BASE ORAL,88
543,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE 10-320-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
544,POTASSIUM CL ER 20 MEQ TABLET,,-1
545,PROPAFENONE HCL 150MG TABLET,,-1
546,TUSSIN CF COUGH-COLD LIQUID,,-1
547,DEXTROAMPHETAMINE 10MG TABLET,DEXTROAMPHETAMINE SULFATE 10MG ORAL,86
548,CARVEDILOL 25MG TABLET,CARVEDILOL 25MG ORAL,86
549,SULINDAC 150MG TABLET,,-1
550,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
551,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
552,OXICONAZOLE NITRATE 1% CREAM,OXICONAZOLE NITRATE EQ 1% BASE TOPICAL,88
553,CHLORDIAZEPOXIDE 10MG CAPSULE,,-1
554,MEMANTINE HCL 5MG TABLET,,-1
555,NIFEDIPINE ER 60MG TABLET,NIFEDIPINE 60MG ORAL,86
556,TELMISARTAN-HYDROCHLOROTHIAZIDE 80-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
557,OXYCODONE HCL 30MG TABLET,,-1
558,SOD SULFACE-SULFUR 9-4.5% WASH,,-1
559,ERYTHROMYCIN 2% SOLUTION,,-1
560,FELODIPINE ER 5MG TABLET,,-1
561,POTASSIUM CL ER 10 MEQ TABLET,,-1
562,SEVELAMER CARBONATE 800MG TABLET,SEVELAMER CARBONATE 800MG ORAL,91
563,ONDANSETRON HCL 4MG TABLET,ONDANSETRON 4MG ORAL,86
564,ARMODAFINIL 200MG TABLET,ARMODAFINIL 200MG ORAL,87
565,PAIN RELIEF PM GELCAP,,-1
566,QUETIAPINE FUMARATE 200MG TABLET,QUETIAPINE FUMARATE EQ 200MG BASE ORAL,88
567,SM LORATA-DINE D 24HR TABLET,,-1
568,HALOPERIDOL LAC 2MG/ML CONC,HALOPERIDOL 2MG ORAL,86
569,DICLOFENAC SOD EC 25MG TABLET,,-1
570,HYDROCHLOROTHIAZIDE 25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
571,NUCYNTA 100MG TABLET,,-1
572,PIOGLITAZONE HCL 45MG TABLET,,-1
573,FLUOCINOLONE 0.01% SOLUTION,,-1
574,CROMOLYN SODIUM NASAL SPRAY,CROMOLYN SODIUM 5.2MG/SPRAY NASAL,100
575,LISINOPRIL 5MG TABLET,,-1
576,ATOMOXETINE HCL 100MG CAPSULE,,-1
577,AMLODIPINE-OLMESARTAN 10-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,95
578,LANSOPRAZOL-AMOXICIL-CLARITHRO,,-1
579,ENALAPRIL MALEATE 2.5MG TABLET,ENALAPRIL MALEATE 2.5MG ORAL,90
580,ZIPRASIDONE HCL 20MG CAPSULE,,-1
581,TRAMADOL ER 300MG TABLET,,-1
582,HM ANTACID-ANTIGAS SUSPENSION,,-1
583,APREPITANT 40MG CAPSULE,APREPITANT 40MG ORAL,86
584,PROPAFENONE HCL 150MG TABLET,,-1
585,QUETIAPINE ER 150MG TABLET,,-1
586,CEPHALEXIN 500MG CAPSULE,,-1
587,MAPAP PM CAPLET,,-1
588,DAY TIME COLD-FLU SOFTGEL,,-1
589,MUCINEX SINUS-MAX PRESSUR-PAIN,,-1
590,BENAZEPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
591,ATORVASTATIN 80MG TABLET,,-1
592,BUSPIRONE HCL 15MG TABLET,,-1
593,BETHANECHOL 5MG TABLET,,-1
594,ALPHAGAN P 0.15% EYE DROPS,,-1
595,ENALAPRIL MALEATE 2.5MG TABLET,ENALAPRIL MALEATE 2.5MG ORAL,90
596,IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
597,TUMS ULTRA TABLET CHEWABLE,,-1
598,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
599,FLUOXETINE HCL 20MG CAPSULE,,-1
600,AMOXICILLIN 250MG/5ML SUSP,AMOXICILLIN 250MG/5ML ORAL,89
601,ESCITALOPRAM 20MG TABLET,,-1
602,QC IBUPROFEN CLD-SINUS CPLT,,-1
603,HYDROXYZINE PAM 50MG CAP,,-1
604,EZETIMIBE-SIMVASTATIN 10-80MG,EZETIMIBE AND SIMVASTATIN 10MG;80MG ORAL,95
605,MYCOPHENOLATE 500MG TABLET,,-1
606,FAMOTIDINE 20MG TABLET,FAMOTIDINE 20MG ORAL,86
607,JANTOVEN 6MG TABLET,,-1
608,DICLOFENAC 0.1% EYE DROPS,,-1
609,LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
610,SOOLANTRA 1% CREAM,,-1
611,FENTANYL 50MCG/HR PATCH,,-1
612,LATISSE 0.03% EYELASH SOLUTION,,-1
613,BETAMETHASONE DP AUG 0.05% OIN,,-1
614,IRBESARTAN 300MG TABLET,IRBESARTAN 300MG ORAL,86
615,WELCHOL 625MG TABLET,,-1
616,QUETIAPINE FUMARATE 25MG TABLET,QUETIAPINE FUMARATE EQ 25MG BASE ORAL,87
617,FLUOXETINE HCL 60MG TABLET,,-1
618,IRBESARTAN 300MG TABLET,IRBESARTAN 300MG ORAL,86
619,PROBENECID-COLCHICINE TABS,PROBENECID AND COLCHICINE 0.5MG;500MG ORAL,89
620,TELMISARTAN-HYDROCHLOROTHIAZIDE 80-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
621,METHYLDOPA 250MG TABLET,METHYLDOPA 250MG ORAL,86
622,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
623,DUTASTERIDE-TAMSULOSIN 0.5-0.4,DUTASTERIDE AND TAMSULOSIN HYDROCHLORIDE 0.5MG;0.4MG ORAL,92
624,CLARITHROMYCIN 500MG TABLET,CLARITHROMYCIN 500MG ORAL,89
625,DIAZEPAM 5MG TABLET,,-1
626,SENOKOT 8.6MG TABLET,,-1
627,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
628,DARIFENACIN ER 7.5MG TABLET,,-1
629,PROPRANOLOL 10MG TABLET,,-1
630,ESOMEPRAZOLE MAG DR 40MG CAP,,-1
631,NORETHIND-ETH ESTRAD 1-0.02MG,,-1
632,PAROXETINE HCL 40MG TABLET,,-1
633,ENALAPRIL MALEATE 10MG TABLET,ENALAPRIL MALEATE 10MG ORAL,90
634,HEADACHE RLF PM 25-500MG TABLET,,-1
635,ZENATANE 10MG CAPSULE,,-1
636,STELARA 45MG/0.5ML SYRINGE,,-1
637,PRIMIDONE 250MG TABLET,PRIMIDONE 250MG ORAL,86
638,LEVO-T 137MCG TABLET,,-1
639,FLECAINIDE ACETATE 150MG TABLET,FLECAINIDE ACETATE 150MG ORAL,91
640,ANASTROZOLE 1MG TABLET,ANASTROZOLE 1MG ORAL,86
641,NASAL DECONGESTANT PE 10MG TB,,-1
642,NITROGLYCERIN 0.3MG TABLET SUB-LINGUAL,,-1
643,FLUTICASONE PROP 50MCG SPRAY,,-1
644,CLOBETASOL 0.05% GEL,CLOBETASOL PROPIONATE 0.05% TOPICAL,88
645,STAY AWAKE 200MG TABLET,,-1
646,STOOL SOFTENER 250MG SOFTGEL,,-1
647,AMLODIPINE-OLMESARTAN 10-20MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;20MG ORAL,95
648,CLONIDINE HCL 0.2MG TABLET,,-1
649,ACETAMINOPHEN 500MG TABLET,,-1
650,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
651,PERPHENAZINE 8MG TABLET,PERPHENAZINE 8MG ORAL,86
652,NORTREL 7-7-7-28 TABLET,,-1
653,CLOPIDOGREL 75MG TABLET,,-1
654,NAMENDA 5MG TABLET,,-1
655,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
656,MEGESTROL 20MG TABLET,,-1
657,SUTENT 12.5MG CAPSULE,,-1
658,ZONTIVITY 2.08MG TABLET,,-1
659,KETOCONAZOLE 2% CREAM,,-1
660,ASPIRIN 325MG TABLET,,-1
661,TAMSULOSIN HCL 0.4MG CAPSULE,,-1
662,PRAMIPEXOLE 0.125MG TABLET,,-1
663,SM PAIN RELIEVER 500MG GELCAP,,-1
664,OLANZAPINE ODT 20MG TABLET,OLANZAPINE 20MG ORAL,86
665,HYDRALAZINE 100MG TABLET,,-1
666,CYCLOBENZAPRINE 10MG TABLET,,-1
667,LEVOCETIRIZINE 5MG TABLET,,-1
668,BUPROPION HCL SR 150MG TABLET,,-1
669,RISPERIDONE 2MG TABLET,RISPERIDONE 2MG ORAL,86
670,SAVAYSA 60MG TABLET,,-1
671,FUNGOID 2% TINCTURE,,-1
672,METOPROLOL TARTRATE 50MG TABLET,METOPROLOL TARTRATE 50MG ORAL,91
673,HYDRALAZINE 100MG TABLET,,-1
674,IRBESARTAN-HYDROCHLOROTHIAZIDE 300-12.5MG TB,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
675,CARVEDILOL 25MG TABLET,CARVEDILOL 25MG ORAL,86
676,COUGH DROPS 5.4MG,,-1
677,ESOMEPRAZOLE MAG DR 20MG CAP,,-1
678,ANASTROZOLE 1MG TABLET,ANASTROZOLE 1MG ORAL,86
679,QUETIAPINE FUMARATE 100MG TABLET,QUETIAPINE FUMARATE EQ 100MG BASE ORAL,88
680,DOFETILIDE 500MCG CAPSULE,,-1
681,ITRACONAZOLE 100MG CAPSULE,ITRACONAZOLE 100MG ORAL,88
682,QUETIAPINE FUMARATE 200MG TABLET,QUETIAPINE FUMARATE EQ 200MG BASE ORAL,88
683,ACID REDUCER 10MG TABLET,,-1
684,MIRTAZAPINE 45MG TABLET,MIRTAZAPINE 45MG ORAL,86
685,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
686,DESOGEST-ETH ESTRA 0.15-0.03MG,,-1
687,IPRATROPIUM-ALBUTEROL 0.5-3(2.5)MG/3ML,,-1
688,"KEPPRA 1,000MG TABLET",,-1
689,NABUMETONE 500MG TABLET,NABUMETONE 500MG ORAL,86
690,WARFARIN SODIUM 2MG TABLET,WARFARIN SODIUM 2MG ORAL,88
691,QC TUSSIN CF LIQUID,,-1
692,HYDROXYZINE PAM 50MG CAP,,-1
693,"LEVETIRACETAM 1,000MG TABLET",,-1
694,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
695,OLANZAPINE ODT 10MG TABLET,OLANZAPINE 10MG ORAL,86
696,TOLTERODINE TART ER 2MG CAP,,-1
697,EZETIMIBE-SIMVASTATIN 10-80MG,EZETIMIBE AND SIMVASTATIN 10MG;80MG ORAL,95
698,MODAFINIL 100MG TABLET,MODAFINIL 100MG ORAL,86
699,TUMS ULTRA TABLET CHEWABLE,,-1
700,JOCK ITCH 1% POWDER SPRAY,,-1
701,CLINDA-TRETINOIN 1.2%-0.025%,,-1
702,NITROGLYCERIN 0.4MG/HR PATCH,NITROGLYCERIN 0.4MG/HR TRANSDERMAL,88
703,RALOXIFENE HCL 60MG TABLET,,-1
704,CLINDAMYCIN-BENZOYL PEROX 1-5%,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE 2.5%;EQ 1.2% BASE TOPICAL,88
705,DONEPEZIL HCL 23MG TABLET,,-1
706,GS TUSSIN MUCUS-CONG 200MG/10,,-1
707,TOLTERODINE TARTRATE 2MG TABLET,TOLTERODINE TARTRATE 2MG ORAL,91
708,FLONASE SENSIMIST 27.5MCG SPR,,-1
709,RIVASTIGMINE 4.6MG/24HR PATCH,RIVASTIGMINE 4.6MG/24HR TRANSDERMAL,88
710,DALIRESP 250MCG TABLET,DALIRESP 250MCG ORAL,86
711,HALOPERIDOL 1MG TABLET,HALOPERIDOL 1MG ORAL,86
712,ZIPRASIDONE HCL 40MG CAPSULE,,-1
713,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
714,LITHIUM CARBONATE ER 300MG TB,LITHIUM CARBONATE 300MG ORAL,90
715,NUCYNTA 50MG TABLET,,-1
716,ARMODAFINIL 150MG TABLET,ARMODAFINIL 150MG ORAL,87
717,LOSARTAN-HYDROCHLOROTHIAZIDE 50-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
718,SULINDAC 150MG TABLET,,-1
719,EZETIMIBE-SIMVASTATIN 10-10MG,EZETIMIBE AND SIMVASTATIN 10MG;10MG ORAL,95
720,CEFPROZIL 125MG/5ML SUSP,CEFPROZIL 125MG/5ML ORAL,88
721,DOXEPIN 150MG CAPSULE,,-1
722,CEFADROXIL 500MG/5ML SUSP,CEFADROXIL EQ 500MG BASE/5ML ORAL,89
723,CYCLOSPORINE MODIFIED 50MG,CYCLOSPORINE 50MG ORAL,87
724,TUSSIN CF COUGH-COLD SYRUP,,-1
725,AMLODIPINE-BENAZEPRIL 5-40MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 5MG BASE;40MG ORAL,96
726,METHADONE HCL 10MG TABLET,,-1
727,BETHANECHOL 25MG TABLET,,-1
728,REQUIP XL 2MG TABLET,,-1
729,FLUOCINONIDE 0.05% OINTMENT,,-1
730,ANU-MED SUPPOSITORY,,-1
731,CALCITRIOL 0.25MCG CAPSULE,CALCITRIOL 0.25MCG ORAL,88
732,MOXIFLOXACIN HCL 400MG TABLET,,-1
733,RISPERIDONE 0.5MG TABLET,RISPERIDONE 0.5MG ORAL,87
734,FLUOXETINE HCL 60MG TABLET,,-1
735,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
736,METFORMIN HCL ER 500MG TABLET,,-1
737,PROPECIA 1MG TABLET,,-1
738,HYDROXYZINE HCL 10MG TABLET,,-1
739,CEFTRIAXONE 500MG VIAL,CEFTRIAXONE EQ 500MG BASE/VIAL INJECTION,100
740,EZETIMIBE-SIMVASTATIN 10-10MG,EZETIMIBE AND SIMVASTATIN 10MG;10MG ORAL,95
741,HYDROCODONE-ACETAMINOPHEN 10-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,86
742,GLIMEPIRIDE 2MG TABLET,GLIMEPIRIDE 2MG ORAL,86
743,MIRTAZAPINE 15MG TABLET,MIRTAZAPINE 15MG ORAL,86
744,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
745,OXCARBAZEPINE 600MG TABLET,OXCARBAZEPINE 600MG ORAL,88
746,ESCITALOPRAM 5MG TABLET,,-1
747,EZETIMIBE 10MG TABLET,,-1
748,FLECAINIDE ACETATE 50MG TABLET,FLECAINIDE ACETATE 50MG ORAL,90
749,ACARBOSE 50MG TABLET,,-1
750,PROPRANOLOL ER 120MG CAPSULE,,-1
751,CLONAZEPAM 2MG TABLET,,-1
752,NICOTINE 2MG LOZENGE,,-1
753,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
754,DOFETILIDE 125MCG CAPSULE,,-1
755,SIMVASTATIN 20MG TABLET,SIMVASTATIN 20MG ORAL,86
756,RIFAMPIN 150MG CAPSULE,,-1
757,ATENOLOL 50MG TABLET,,-1
758,ONDANSETRON HCL 8MG TABLET,ONDANSETRON 8MG ORAL,86
759,DIVALPROEX SOD DR 500MG TABLET,,-1
760,FLUCONAZOLE 10MG/ML SUSP,,-1
761,SM IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
762,CLONIDINE HCL 0.2MG TABLET,,-1
763,WARFARIN SODIUM 7.5MG TABLET,WARFARIN SODIUM 7.5MG ORAL,89
764,WARFARIN SODIUM 4MG TABLET,WARFARIN SODIUM 4MG ORAL,88
765,SYMBICORT 80-4.5MCG INHALER,,-1
766,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
767,DEXTROAMP-AMPHET ER 20MG CAP,,-1
768,GALANTAMINE HBR 12MG TABLET,,-1
769,CEFUROXIME AXETIL 250MG TABLET,CEFUROXIME AXETIL EQ 250MG BASE/5ML ORAL,87
770,LOXAPINE 25MG CAPSULE,,-1
771,GABAPENTIN 250MG/5ML SOLUTION,GABAPENTIN 250MG/5ML ORAL,89
772,ASPIRIN 325MG TABLET,,-1
773,ONDANSETRON ODT 8MG TABLET,ONDANSETRON 8MG ORAL,86
774,"METFORMIN HCL 1,000MG TABLET",,-1
775,ARTHRITIS PAIN ER 650MG CAPLT,,-1
776,BENZONATATE 200MG CAPSULE,BENZONATATE 200MG ORAL,87
777,GABAPENTIN 400MG CAPSULE,GABAPENTIN 400MG ORAL,86
778,EMTRIVA 200MG CAPSULE,,-1
779,QUETIAPINE FUMARATE 25MG TABLET,QUETIAPINE FUMARATE EQ 25MG BASE ORAL,87
780,HYDROCODONE-ACETAMINOPHEN 5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,87
781,OXYTROL FOR WOMEN 3.9MG/24HR,OXYTROL FOR WOMEN 3.9MG/24HR TRANSDERMAL,100
782,BETAMETHASONE VALER 0.1% OINTM,,-1
783,DONEPEZIL HCL 5MG TABLET,,-1
784,RABEPRAZOLE SOD DR 20MG TABLET,,-1
785,TRI-VYLIBRA 28 TABLET,,-1
786,FAMOTIDINE 40MG TABLET,FAMOTIDINE 40MG ORAL,86
787,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
788,VORICONAZOLE 200MG TABLET,VORICONAZOLE 200MG ORAL,88
789,SPIRONOLACTONE 50MG TABLET,SPIRONOLACTONE 50MG ORAL,88
790,PAROXETINE HCL 20MG TABLET,,-1
791,LAMOTRIGINE 25MG TABLET,LAMOTRIGINE 25MG ORAL,86
792,SM COLD-COUGH DM LIQUID,,-1
793,AMLODIPINE-BENAZEPRIL 10-20MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 5MG BASE;20MG ORAL,95
794,ESZOPICLONE 1MG TABLET,ESZOPICLONE 1MG ORAL,86
795,NORTREL 1-35 21 TABLET,,-1
796,MYCOPHENOLATE 250MG CAPSULE,,-1
