,ndc_description,ndc_description_agg,score
395,OXYCODONE-ACETAMINOPHEN 7.5-325MG TABLET,OXYCODONE AND ACETAMINOPHEN 325MG;7.5MG ORAL,87
396,OMEGA-3 ETHYL ESTERS 1 GM CAP,OMTRYG 1.2GM CONTAINS AT LEAST 900MG OF THE ETHYL ESTERS OF OMEGA-3 FATTY ACIDS ORAL,86
397,FINASTERIDE 5MG TABLET,FINASTERIDE 5MG ORAL,86
398,METHAZOLAMIDE 50MG TABLET,METHAZOLAMIDE 50MG ORAL,88
399,GABAPENTIN 300MG CAPSULE,GABAPENTIN 300MG ORAL,86
400,TRIFLUOPERAZINE 2MG TABLET,,-1
401,ISOSORBIDE MONONIT 20MG TABLET,,-1
402,GAVISCON EXTRA STRENGTH LIQUID,,-1
403,TOPIRAMATE 200MG TABLET,TOPIRAMATE 200MG ORAL,86
404,NASAL DECONGESTANT PE 10MG TB,,-1
405,ROSUVASTATIN CALCIUM 10MG TABLET,ROSUVASTATIN CALCIUM 10MG ORAL,91
406,BUSPIRONE HCL 15MG TABLET,,-1
407,WARFARIN SODIUM 6MG TABLET,WARFARIN SODIUM 6MG ORAL,88
408,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
409,OXYCODONE HCL 20MG TABLET,,-1
410,NICOTINE 21MG/24HR PATCH,NICOTINE 21MG/24HR TRANSDERMAL,86
411,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
412,SM MAGNESIUM CITRATE SOLUTION,,-1
413,POLYETHYLENE GLYCOL 3350 POWD,POLYETHYLENE GLYCOL 3350 17GM/SCOOPFUL ORAL,91
414,SODIUM POLYSTYRENE SULFONATE POWDER,"SODIUM POLYSTYRENE SULFONATE 454GM/BOT ORAL, RECTAL",89
415,MONTELUKAST SOD 10MG TABLET,,-1
416,FIBER TABS,,-1
417,GABAPENTIN 100MG CAPSULE,GABAPENTIN 100MG ORAL,86
418,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
419,ARIPIPRAZOLE 15MG TABLET,ARIPIPRAZOLE 15MG ORAL,87
420,NIGHTTIME SLEEP AID 25MG CPLT,,-1
421,SIMVASTATIN 40MG TABLET,SIMVASTATIN 40MG ORAL,86
422,DIGOXIN 250MCG TABLET,,-1
423,PERPHENAZINE 16MG TABLET,PERPHENAZINE 16MG ORAL,87
424,FLUOXETINE HCL 20MG CAPSULE,,-1
425,TAMOXIFEN 10MG TABLET,,-1
426,GABAPENTIN 800MG TABLET,GABAPENTIN 800MG ORAL,86
427,LOXAPINE 50MG CAPSULE,,-1
428,PLAVIX 75MG TABLET,,-1
429,DILTIAZEM 90MG TABLET,,-1
430,RAPAMUNE 2MG TABLET,,-1
431,LEVO-T 75MCG TABLET,,-1
432,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
433,RIVASTIGMINE 6MG CAPSULE,,-1
434,OXYBUTYNIN CL ER 5MG TABLET,,-1
435,ALL DAY PAIN RELIEF 220MG TABLET,,-1
436,ITRACONAZOLE 100MG CAPSULE,ITRACONAZOLE 100MG ORAL,88
437,PREVALITE PACKET,PREVALITE EQ 4GM RESIN/PACKET ORAL,100
438,FUROSEMIDE 20MG TABLET,FUROSEMIDE 20MG ORAL,86
439,LIDOCAINE ANORECTAL 5% CREAM,,-1
440,SIMVASTATIN 10MG TABLET,SIMVASTATIN 10MG ORAL,86
441,CIMETIDINE 300MG TABLET,CIMETIDINE 300MG ORAL,86
442,CARVEDILOL 25MG TABLET,CARVEDILOL 25MG ORAL,86
443,METHYLDOPA 500MG TABLET,METHYLDOPA 500MG ORAL,86
444,DOXAZOSIN MESYLATE 2MG TABLET,DOXAZOSIN MESYLATE EQ 2MG BASE ORAL,86
445,VENLAFAXINE HCL ER 225MG TABLET,,-1
446,BEYAZ 28 TABLET,,-1
447,CLOBETASOL 0.05% GEL,CLOBETASOL PROPIONATE 0.05% TOPICAL,88
448,DIETHYLPROPION ER 75MG TABLET,,-1
449,ENTECAVIR 1MG TABLET,,-1
450,ONFI 10MG TABLET,,-1
451,JANUVIA 100MG TABLET,,-1
452,NICOTINE 4MG LOZENGE,,-1
453,HYDRALAZINE 25MG TABLET,,-1
454,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
455,CLOTRIMAZOLE 1% CREAM,,-1
456,TERBINAFINE HCL 250MG TABLET,,-1
457,AMITRIPTYLINE HCL 150MG TABLET,,-1
458,DORZOLAMIDE HCL 2% EYE DROPS,,-1
459,LOTREL 10-20MG CAPSULE,,-1
460,POTASSIUM CL 20 MEQ PACKET,,-1
461,HYDROXYZINE HCL 10MG TABLET,,-1
462,OLANZAPINE 15MG TABLET,OLANZAPINE 15MG ORAL,86
463,AMLODIPINE-VALSARTAN 5-160MG,AMLODIPINE BESYLATE AND VALSARTAN EQ 5MG BASE;160MG ORAL,96
464,QUETIAPINE ER 150MG TABLET,,-1
465,NYSTATIN-TRIAMCINOLONE CREAM,"NYSTATIN AND TRIAMCINOLONE ACETONIDE 100,000 UNITS/GM;0.1% TOPICAL",88
466,QUETIAPINE ER 150MG TABLET,,-1
467,AMOX-CLAV 875-125MG TABLET,,-1
468,ORPHENADRINE ER 100MG TABLET,,-1
469,ENALAPRIL MALEATE 10MG TABLET,ENALAPRIL MALEATE 10MG ORAL,90
470,ACEPHEN 650MG SUPPOSITORY,,-1
471,CITALOPRAM HBR 40MG TABLET,,-1
472,TRAMADOL HCL 50MG TABLET,,-1
473,LEVOXYL 200MCG TABLET,,-1
474,BISOPROLOL FUMARATE 5MG TABLET,BISOPROLOL FUMARATE 5MG ORAL,90
475,SUCRALFATE 1 GM TABLET,,-1
476,PRAMIPEXOLE 0.125MG TABLET,,-1
477,LITHIUM CARBONATE 300MG TABLET,LITHIUM CARBONATE 300MG ORAL,90
478,BACLOFEN 10MG TABLET,,-1
479,ARNUITY ELLIPTA 200MCG INHALATION,ARNUITY ELLIPTA 0.05MG/INH INHALATION,89
480,LARIN FE 1.5-30 TABLET,,-1
481,GLIMEPIRIDE 4MG TABLET,GLIMEPIRIDE 4MG ORAL,86
482,NASAL DECONGESTANT 30MG TABLET,,-1
483,TOLTERODINE TART ER 4MG CAP,,-1
484,CARBIDOPA-LEVODOPA 25-100 TABLET,,-1
485,BUSPIRONE HCL 10MG TABLET,,-1
486,TIZANIDINE HCL 4MG CAPSULE,,-1
487,WARFARIN SODIUM 1MG TABLET,WARFARIN SODIUM 1MG ORAL,88
488,ALLERGY RELIEF D-24HR TABLET,,-1
489,CYRED 28 DAY TABLET,,-1
490,QUETIAPINE FUMARATE 100MG TABLET,QUETIAPINE FUMARATE EQ 100MG BASE ORAL,88
491,ATORVASTATIN 20MG TABLET,,-1
492,ARIPIPRAZOLE 15MG TABLET,ARIPIPRAZOLE 15MG ORAL,87
493,KENALOG-40 40MG/ML VIAL,KENALOG-40 40MG/ML INJECTION,88
494,CLONAZEPAM 1MG TABLET,,-1
495,TUSSIN MUCUS-CONG 200MG/10,,-1
496,RAPAFLO 8MG CAPSULE,,-1
497,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE 5-160-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
498,SM NICOTINE 21MG/24HR PATCH,,-1
499,BUTALB-ACETAMINOPHEN-CAFF 50-325-40 TABLET,,-1
500,PERCOCET 10-325MG TABLET,,-1
501,ATOMOXETINE HCL 40MG CAPSULE,,-1
502,RIZATRIPTAN 5MG ODT,RIZATRIPTAN BENZOATE EQ 5MG BASE ORAL,88
503,ARISTADA ER 662MG/2.4ML SYRN,,-1
504,QC NON-ASPIRIN PM CAPLET,,-1
505,ALPRAZOLAM 2MG TABLET,,-1
506,MIRTAZAPINE 30MG TABLET,MIRTAZAPINE 30MG ORAL,86
507,URSODIOL 250MG TABLET,,-1
508,CLARAVIS 20MG CAPSULE,,-1
509,TORSEMIDE 100MG TABLET,TORSEMIDE 100MG ORAL,86
510,RIVASTIGMINE 3MG CAPSULE,,-1
511,ATOMOXETINE HCL 40MG CAPSULE,,-1
512,CHLORPROMAZINE 25MG TABLET,,-1
513,DICYCLOMINE 10MG CAPSULE,,-1
514,PROPRANOLOL 20MG TABLET,,-1
515,NAMENDA XR 28MG CAPSULE,NAMENDA XR 28MG ORAL,86
516,PHENTERMINE 37.5MG CAPSULE,,-1
517,LISINOPRIL 20MG TABLET,LISINOPRIL 20MG ORAL,86
518,PROLENSA 0.07% EYE DROPS,,-1
519,NORG-EE 0.18-0.215-0.25/0.035,,-1
520,OLMSRTN-AMLDPN-HYDROCHLOROTHIAZIDE 40-10-12.5,,-1
521,GLYXAMBI 10MG-5MG TABLET,GLYXAMBI 10MG;5MG ORAL,87
522,LINEZOLID 600MG TABLET,LINEZOLID 600MG ORAL,86
523,METHYLPHENIDATE 10MG/5ML SOLUTION,,-1
524,LAMOTRIGINE ER 100MG TABLET,LAMOTRIGINE 100MG ORAL,87
525,NEVIRAPINE ER 400MG TABLET,NEVIRAPINE 400MG ORAL,86
526,KLOR-CON 8 MEQ TABLET,,-1
527,ALLERGY RELIEF 10MG TABLET,,-1
528,NITROFURANTOIN 25MG/5ML SUSP,NITROFURANTOIN 25MG/5ML ORAL,90
529,VENLAFAXINE HCL ER 150MG CAP,,-1
530,CLINDACIN P 1% PLEDGETS,,-1
531,CHEST RUB,,-1
532,RISPERIDONE 0.5MG TABLET,RISPERIDONE 0.5MG ORAL,87
533,METHADONE HCL 10MG TABLET,,-1
534,VALACYCLOVIR HCL 1 GRAM TABLET,,-1
535,BREO ELLIPTA 200-25MCG INHALATION,,-1
536,DOXAZOSIN MESYLATE 4MG TABLET,DOXAZOSIN MESYLATE EQ 4MG BASE ORAL,86
537,CLOPIDOGREL 75MG TABLET,,-1
538,INVEGA SUSTENNA 78MG/0.5ML,INVEGA SUSTENNA 78MG/0.5ML (78MG/0.5ML) INTRAMUSCULAR,100
539,MOXIFLOXACIN 0.5% EYE DROPS,,-1
540,PRAVASTATIN SODIUM 80MG TABLET,PRAVASTATIN SODIUM 80MG ORAL,90
541,SM 8 HOUR PAIN RELIEF 650MG,,-1
542,FAMCICLOVIR 500MG TABLET,FAMCICLOVIR 500MG ORAL,87
543,"CALCIUM ANTACID 1,000MG TABLET",,-1
544,"JENTADUETO XR 2.5MG-1,000MG",,-1
545,TRIAMCINOLONE 0.1% CREAM,,-1
546,RIFAMPIN 300MG CAPSULE,,-1
547,LABETALOL HCL 100MG TABLET,,-1
548,LIDOCAINE 4% CREAM,,-1
549,REPAGLINIDE 1MG TABLET,REPAGLINIDE 1MG ORAL,86
550,TELMISARTAN 40MG TABLET,TELMISARTAN 40MG ORAL,86
551,LIDOCAINE ANORECTAL 5% CREAM,,-1
552,TIMOLOL MALEATE 0.25% EYE DROP,,-1
553,TRAMADOL HCL 50MG TABLET,,-1
554,LAMOTRIGINE 150MG TABLET,LAMOTRIGINE 150MG ORAL,87
555,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
556,ENALAPRIL MALEATE 2.5MG TABLET,ENALAPRIL MALEATE 2.5MG ORAL,90
557,CELECOXIB 400MG CAPSULE,CELECOXIB 400MG ORAL,86
558,ACEBUTOLOL 200MG CAPSULE,,-1
559,OXYCODONE-ACETAMINOPHEN 2.5-325MG TABLET,OXYCODONE AND ACETAMINOPHEN 325MG;2.5MG ORAL,87
560,BUPROPION HCL 100MG TABLET,,-1
561,ASPIRIN 81MG CHEWABLE TABLET,,-1
562,OXYTROL 3.9MG/24HR PATCH,OXYTROL 3.9MG/24HR TRANSDERMAL,86
563,EFFEXOR XR 75MG CAPSULE,,-1
564,NICORETTE 2MG CHEWING GUM,,-1
565,CLOBETASOL 0.05% GEL,CLOBETASOL PROPIONATE 0.05% TOPICAL,88
566,AMLODIPINE-BENAZEPRIL 5-10MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,96
567,BUTALB-ACETAMINOPHEN-CAFF 50-325-40 TABLET,,-1
568,AZATHIOPRINE 50MG TABLET,AZATHIOPRINE 50MG ORAL,87
569,PROPRANOLOL 60MG TABLET,,-1
570,OXYCODONE-ACETAMINOPHEN 7.5-325MG TABLET,OXYCODONE AND ACETAMINOPHEN 325MG;7.5MG ORAL,87
571,LAMOTRIGINE 100MG TABLET,LAMOTRIGINE 100MG ORAL,87
572,ESCITALOPRAM 20MG TABLET,,-1
573,RANITIDINE 150MG TABLET,,-1
574,LAMOTRIGINE 150MG TABLET,LAMOTRIGINE 150MG ORAL,87
575,NICORELIEF 4MG GUM,,-1
576,ZUBSOLV 8.6-2.1MG TABLET SUB-LINGUAL,,-1
577,URSODIOL 250MG TABLET,,-1
578,SPIRONOLACTONE-HYDROCHLOROTHIAZIDE 25-25 TABLET,SPIRONOLACTONE W/ HYDROCHLOROTHIAZIDE 25MG;25MG ORAL,89
579,PAROXETINE HCL 10MG TABLET,,-1
580,DONEPEZIL HCL 5MG TABLET,,-1
581,LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
582,CIPROFLOXACIN HCL 750MG TABLET,,-1
583,TIMOLOL MALEATE 0.5% EYE DROPS,,-1
584,OLANZAPINE ODT 20MG TABLET,OLANZAPINE 20MG ORAL,86
585,FLUOCINOLONE 0.025% OINTMENT,,-1
586,QUINAPRIL 20MG TABLET,,-1
587,MUCUS RELIEF SEVERE COLD CPLT,,-1
588,AMIODARONE HCL 100MG TABLET,,-1
589,SERTRALINE HCL 100MG TABLET,,-1
590,DOXAZOSIN MESYLATE 8MG TABLET,DOXAZOSIN MESYLATE EQ 8MG BASE ORAL,86
591,METHOTREXATE 50MG/2ML VIAL,METHOTREXATE SODIUM EQ 50MG BASE/VIAL INJECTION,92
592,VALACYCLOVIR HCL 500MG TABLET,,-1
593,VIRAMUNE 200MG TABLET,,-1
594,NICOTINE 4MG CHEWING GUM,,-1
595,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
596,PULMICORT 180MCG FLEXHALER,,-1
597,THIORIDAZINE 50MG TABLET,,-1
598,CALCIPOTRIENE 0.005% OINTMENT,,-1
599,MEMANTINE HCL 10MG TABLET,,-1
600,DULOXETINE HCL DR 30MG CAP,,-1
601,CLOBETASOL 0.05% OINTMENT,,-1
602,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
603,NAPROXEN SODIUM 550MG TABLET,,-1
604,AZELASTINE 0.1% (137MCG) SPRY,,-1
605,METHYLPHENIDATE 5MG/5ML SOLUTION,,-1
606,BETHANECHOL 50MG TABLET,,-1
607,TOPIRAMATE 200MG TABLET,TOPIRAMATE 200MG ORAL,86
608,GAVISCON 80-14.2MG TAB CHEWABLE,,-1
609,AMOXICILLIN 250MG CAPSULE,AMOXICILLIN 250MG ORAL,87
610,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
611,CEFADROXIL 500MG/5ML SUSP,CEFADROXIL EQ 500MG BASE/5ML ORAL,89
612,PAIN RELIEVER 500MG GELCAP,,-1
613,EFFEXOR XR 75MG CAPSULE,,-1
614,DROSPIRENONE-EE 3-0.02MG TABLET,,-1
615,PREDNISOLONE 5MG/5ML SOLUTION,PREDNISOLONE 5MG/5ML ORAL,89
616,ANTACID ANTI-GAS LIQUID,,-1
617,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
618,GS PAIN RELIEF 500MG TABLET,,-1
619,BETAMETHASONE DP 0.05% LOT,,-1
620,ESOMEPRAZOLE MAG DR 20MG CAP,,-1
621,ISOSORBIDE MONONIT ER 60MG TB,,-1
622,CITALOPRAM HBR 40MG TABLET,,-1
623,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
624,OXYCODONE HCL 15MG TABLET,,-1
625,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
626,ROSUVASTATIN CALCIUM 5MG TABLET,ROSUVASTATIN CALCIUM 5MG ORAL,91
627,ACETAMINOPHEN 500MG TABLET,,-1
628,DILTIAZEM 24HR ER 240MG CAP,,-1
629,HYDROCORTISONE VAL 0.2% OINTMT,,-1
630,RISPERIDONE 1MG TABLET,RISPERIDONE 1MG ORAL,86
631,HALOPERIDOL 5MG TABLET,HALOPERIDOL 5MG ORAL,86
632,APLISOL 5T UNITS/0.1ML VIAL,,-1
633,NADOLOL 40MG TABLET,,-1
634,ZIPRASIDONE HCL 80MG CAPSULE,,-1
635,ALLERGY RELIEF D-24HR TABLET,,-1
636,ARIPIPRAZOLE 2MG TABLET,ARIPIPRAZOLE 2MG ORAL,86
637,SPIRONOLACTONE 50MG TABLET,SPIRONOLACTONE 50MG ORAL,88
638,WARFARIN SODIUM 10MG TABLET,WARFARIN SODIUM 10MG ORAL,89
639,NITRO-BID 2% OINTMENT,,-1
640,TRETINOIN 0.025% CREAM,,-1
641,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
642,CAPTOPRIL 12.5MG TABLET,CAPTOPRIL 12.5MG ORAL,86
643,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
644,ACETAMINOPHEN-CODEINE 120MG-12MG/5ML SOLUTION,ACETAMINOPHEN AND CODEINE PHOSPHATE 120MG/5ML;12MG/5ML ORAL,89
645,PENICILLIN VK 500MG TABLET,,-1
646,PRAMIPEXOLE 1MG TABLET,,-1
647,TERCONAZOLE 0.4% CREAM,,-1
648,LANSOPRAZOL-AMOXICIL-CLARITHRO,,-1
649,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
650,PHARBETOL 325MG TABLET,,-1
651,AMLODIPINE-OLMESARTAN 10-20MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;20MG ORAL,95
652,GLYBURIDE MICRO 3MG TABLET,,-1
653,CARISOPRODOL 250MG TABLET,CARISOPRODOL 250MG ORAL,88
654,VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
655,HYDROXYZINE HCL 50MG TABLET,,-1
656,CYCLOBENZAPRINE 10MG TABLET,,-1
657,RENO CAPS SOFTGEL,,-1
658,CEVIMELINE HCL 30MG CAPSULE,,-1
659,FENTANYL 75MCG/HR PATCH,,-1
660,SUMATRIPTAN 20MG NASAL SPRAY,SUMATRIPTAN 20MG/SPRAY NASAL,100
661,MYCOPHENOLATE 500MG TABLET,,-1
662,VIVELLE-DOT 0.0375MG PATCH,VIVELLE-DOT 0.0375MG/24HR TRANSDERMAL,87
663,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
664,ACYCLOVIR 800MG TABLET,ACYCLOVIR 800MG ORAL,86
665,HYDROCODONE-HOMATROPINE SYRUP,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE 1.5MG/5ML;5MG/5ML ORAL,88
666,DOXYCYCLINE MONO 100MG CAP,,-1
667,IBUPROFEN 400MG TABLET,IBUPROFEN 400MG ORAL,86
668,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE 5-160-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
669,ZOLPIDEM TART ER 12.5MG TABLET,,-1
670,DULOXETINE HCL DR 30MG CAP,,-1
671,THEO-24 ER 400MG CAPSULE,,-1
672,DIVIGEL 0.5MG GEL PACKET,,-1
673,FENTANYL 100MCG/2ML VIAL,,-1
674,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
675,METFORMIN HCL 500MG TABLET,,-1
676,SERTRALINE HCL 50MG TABLET,,-1
677,CIPROFLOXACIN HCL 750MG TABLET,,-1
678,HYOSCYAMINE SULF 0.125MG TABLET,,-1
679,COLOCORT 100MG ENEMA,,-1
680,CYTOMEL 5MCG TABLET,,-1
681,GRANISETRON HCL 1MG TABLET,,-1
682,FENOFIBRATE 145MG TABLET,FENOFIBRATE 145MG ORAL,87
683,PRAMIPEXOLE 1MG TABLET,,-1
684,BUPROPION HCL XL 150MG TABLET,,-1
685,CLIMARA 0.05MG/DAY PATCH,,-1
686,ASPIRIN 325MG TABLET,,-1
687,HM TRIPLE ANTIBIOTIC OINTMENT,,-1
688,ALFUZOSIN HCL ER 10MG TABLET,,-1
689,SULINDAC 150MG TABLET,,-1
690,LOSARTAN-HYDROCHLOROTHIAZIDE 50-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
691,ERYTHROMYCIN 2% SOLUTION,,-1
692,STOMACH RELIEF MAX STR LIQUID,,-1
693,METFORMIN HCL 500MG TABLET,,-1
694,METOPROLOL TARTRATE 25MG TABLET,METOPROLOL TARTRATE 25MG ORAL,91
695,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE 10-160-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
696,OXYBUTYNIN CL ER 10MG TABLET,,-1
697,LEVETIRACETAM 750MG TABLET,LEVETIRACETAM 750MG ORAL,88
698,HM ACID REDUCER 75MG TABLET,,-1
699,GENERESS FE CHEWABLE TABLET,,-1
700,NAPROXEN 375MG TABLET,,-1
701,VIRT-PN DHA SOFTGEL,,-1
702,ROSUVASTATIN CALCIUM 5MG TABLET,ROSUVASTATIN CALCIUM 5MG ORAL,91
703,AMOX-CLAV 200-28.5MG/5ML SUS,,-1
704,MAGNESIUM OXIDE 400MG TABLET,,-1
705,OXYBUTYNIN CL ER 5MG TABLET,,-1
706,"FOSAMAX PLUS D 70MG-2,800 UNITS","FOSAMAX PLUS D EQ 70MG BASE;2,800 IU ORAL",89
707,SUDOGEST 60MG TABLET,,-1
708,LEUCOVORIN CALCIUM 10MG TABLET,LEUCOVORIN CALCIUM EQ 10MG BASE/ML INJECTION,87
709,KEPPRA 100MG/ML ORAL SOLUTION,KEPPRA 100MG/ML ORAL,100
710,ZONISAMIDE 100MG CAPSULE,ZONISAMIDE 100MG ORAL,86
711,LEVETIRACETAM 750MG TABLET,LEVETIRACETAM 750MG ORAL,88
712,PANTOPRAZOLE SOD DR 40MG TABLET,,-1
713,VALSARTAN 320MG TABLET,VALSARTAN 320MG ORAL,86
714,NICOTINE 4MG CHEWING GUM,,-1
715,HM SINUS NASAL SPRAY 0.05%,,-1
716,DEPO-MEDROL 80MG/ML VIAL,DEPO-MEDROL 80MG/ML INJECTION,88
717,XTAMPZA ER 18MG CAPSULE,XTAMPZA ER 18MG ORAL,86
718,PIOGLITAZONE HCL 15MG TABLET,,-1
719,ETHACRYNIC ACID 25MG TABLET,ETHACRYNIC ACID 25MG ORAL,89
720,ANTI-ITCH 2% CREAM,,-1
721,COREG CR 10MG CAPSULE,,-1
722,GS PAIN RELIEF 500MG CAPLET,,-1
723,MIRTAZAPINE 45MG TABLET,MIRTAZAPINE 45MG ORAL,86
724,LISINOPRIL 20MG TABLET,LISINOPRIL 20MG ORAL,86
725,LISINOPRIL 10MG TABLET,LISINOPRIL 10MG ORAL,86
726,LOVASTATIN 10MG TABLET,LOVASTATIN 10MG ORAL,86
727,ZARONTIN 250MG CAPSULE,,-1
728,GALANTAMINE HBR 8MG TABLET,,-1
729,ROSUVASTATIN CALCIUM 10MG TABLET,ROSUVASTATIN CALCIUM 10MG ORAL,91
730,DULOXETINE HCL DR 30MG CAP,,-1
731,LEVOFLOXACIN 500MG TABLET,LEVOFLOXACIN 500MG ORAL,88
732,CLINDAMYCIN PHOSP 1% LOTION,,-1
733,DOXEPIN 50MG CAPSULE,,-1
734,IRBESARTAN-HYDROCHLOROTHIAZIDE 300-12.5MG TB,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
735,HYOSCYAMINE 0.125MG TAB SUB-LINGUAL,,-1
736,DULOXETINE HCL DR 30MG CAP,,-1
737,HUMALOG MIX 50-50 KWIKPEN,HUMALOG MIX 50/50 KWIKPEN 50 UNITS/ML;50 UNITS/ML INJECTION,100
738,AMOX-CLAV 250-62.5MG/5ML SUS,,-1
739,CILOSTAZOL 100MG TABLET,CILOSTAZOL 100MG ORAL,86
740,DESONIDE 0.05% CREAM,,-1
741,RELPAX 20MG TABLET,,-1
742,NITROGLYCERIN 0.4MG/HR PATCH,NITROGLYCERIN 0.4MG/HR TRANSDERMAL,88
743,TRIPLE ANTIBIOTIC OINTMENT,,-1
744,HM CLEARLAX POWDER,,-1
745,DILTIAZEM 30MG TABLET,,-1
746,CHILD PAIN-FEVER 80MG TAB CHEWABLE,,-1
747,RISPERIDONE 0.5MG TABLET,RISPERIDONE 0.5MG ORAL,87
748,MORPHINE SULF 100MG/5ML SOLUTION,,-1
749,CLOTRIMAZOLE-BETAMETHASONE CREAM,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE EQ 0.05% BASE;1% TOPICAL,90
750,NESTABS DHA COMBO PACK,,-1
751,TANZEUM 50MG PEN INJECT,,-1
752,GRANISETRON HCL 1MG TABLET,,-1
753,URSODIOL 250MG TABLET,,-1
754,FENTANYL 100MCG/HR PATCH,FENTANYL-100 100MCG/HR TRANSDERMAL,86
755,MIDODRINE HCL 2.5MG TABLET,,-1
756,FLAREX 0.1% EYE DROPS,,-1
757,FLUCONAZOLE 200MG TABLET,FLUCONAZOLE 200MG ORAL,87
758,DIVALPROEX SOD ER 250MG TABLET,,-1
759,VIIBRYD 20MG TABLET,,-1
760,ZOLMITRIPTAN 2.5MG TABLET,ZOLMITRIPTAN 2.5MG ORAL,88
761,THIORIDAZINE 10MG TABLET,,-1
762,VENLAFAXINE HCL ER 75MG CAP,,-1
763,MORPHINE SULF 100MG/5ML (20MG/ML) SOLUTION,,-1
764,IRBESARTAN 300MG TABLET,IRBESARTAN 300MG ORAL,86
765,CLOTRIMAZOLE 1% SOLUTION,,-1
766,CLONAZEPAM 0.25MG ODT,CLONAZEPAM 0.25MG ORAL,89
767,DIGOXIN 250MCG TABLET,,-1
768,MEMANTINE HCL ER 21MG CAPSULE,,-1
769,RIFAMPIN 300MG CAPSULE,,-1
770,BELBUCA 75MCG FILM,,-1
771,INFANT IBUPROFEN 50MG/1.25ML,,-1
772,TACLONEX 0.005%-0.064% SUSPENSION,,-1
773,KETOCONAZOLE 200MG TABLET,KETOCONAZOLE 200MG ORAL,88
774,CLONIDINE 0.2MG/DAY PATCH,,-1
775,PRAZOSIN 5MG CAPSULE,,-1
776,AMLODIPINE-ATORVAST 5-20MG,,-1
777,DEXTROAMPHETAMINE ER 10MG CAP,DEXTROAMPHETAMINE SULFATE 10MG ORAL,86
778,FLUVOXAMINE MALEATE 25MG TABLET,FLUVOXAMINE MALEATE 25MG ORAL,91
779,METHIMAZOLE 5MG TABLET,METHIMAZOLE 5MG ORAL,86
780,POTASSIUM CL ER 20 MEQ TABLET,,-1
781,HEMORRHOIDAL SUPPOSITORY,,-1
782,DIGOXIN 0.25MG TABLET,,-1
783,OXYCONTIN ER 15MG TABLET,,-1
784,RIZATRIPTAN 5MG ODT,RIZATRIPTAN BENZOATE EQ 5MG BASE ORAL,88
785,CLONAZEPAM 2MG TABLET,,-1
786,LAMOTRIGINE 25MG TABLET,LAMOTRIGINE 25MG ORAL,86
