,ndc_description,ndc_description_agg,score
380,CELLCEPT 250MG CAPSULE,,-1
381,LISINOPRIL 5MG TABLET,,-1
382,CLOBETASOL 0.05% SOLUTION,,-1
383,IMATINIB MESYLATE 400MG TABLET,IMATINIB MESYLATE EQ 400MG BASE ORAL,87
384,PHENOBARBITAL 15MG TABLET,,-1
385,CLOMIPHENE CITRATE 50MG TABLET,CLOMIPHENE CITRATE 50MG ORAL,90
386,METHYLPHENIDATE ER 20MG TABLET,,-1
387,FENTANYL 75MCG/HR PATCH,,-1
388,CHLORTHALIDONE 25MG TABLET,CHLORTHALIDONE 25MG ORAL,88
389,TRILYTE WITH FLAVOR PACKETS,,-1
390,THERA-GEL 0.5% SHAMPOO,,-1
391,OXYCODONE-ACETAMINOPHEN 10-325MG TABLET,,-1
392,TRANDOLAPRIL 4MG TABLET,TRANDOLAPRIL 4MG ORAL,86
393,TILIA FE 28 TABLET,,-1
394,LAMOTRIGINE 25MG TABLET,LAMOTRIGINE 25MG ORAL,86
395,TUSSIN CF MULTI-SYMPTOM COLD,,-1
396,MYCOPHENOLIC ACID DR 180MG TB,MYCOPHENOLIC ACID 180MG ORAL,90
397,ARIPIPRAZOLE 30MG TABLET,ARIPIPRAZOLE 30MG ORAL,87
398,ALLERGY 4MG TABLET,,-1
399,IBUPROFEN 200MG SOFTGEL,IBUPROFEN 200MG ORAL,86
400,TRIAMTERENE-HYDROCHLOROTHIAZIDE 37.5-25MG CP,TRIAMTERENE AND HYDROCHLOROTHIAZIDE 25MG;37.5MG ORAL,94
401,TRULICITY 0.75MG/0.5ML PEN,,-1
402,PROPYLTHIOURACIL 50MG TABLET,PROPYLTHIOURACIL 50MG ORAL,89
403,MORPHINE SULF ER 15MG TABLET,,-1
404,BETAMETHASONE VA 0.1% CREAM,,-1
405,EZETIMIBE-SIMVASTATIN 10-40MG,EZETIMIBE AND SIMVASTATIN 10MG;40MG ORAL,95
406,BUSPIRONE HCL 10MG TABLET,,-1
407,ATOMOXETINE HCL 100MG CAPSULE,,-1
408,TRIAMTERENE-HYDROCHLOROTHIAZIDE 37.5-25MG TB,TRIAMTERENE AND HYDROCHLOROTHIAZIDE 25MG;37.5MG ORAL,94
409,CARBIDOPA-LEVO 25-100MG ODT,,-1
410,DOXAZOSIN MESYLATE 2MG TABLET,DOXAZOSIN MESYLATE EQ 2MG BASE ORAL,86
411,BACLOFEN 20MG TABLET,,-1
412,GLYBURIDE 5MG TABLET,,-1
413,CLONIDINE 0.2MG/DAY PATCH,,-1
414,VENLAFAXINE HCL 37.5MG TABLET,,-1
415,EZETIMIBE-SIMVASTATIN 10-20MG,EZETIMIBE AND SIMVASTATIN 10MG;20MG ORAL,95
416,CICLOPIROX 0.77% CREAM,,-1
417,RITONAVIR 100MG TABLET,RITONAVIR 100MG ORAL,86
418,HYDROCHLOROTHIAZIDE 12.5MG CP,HYDROCHLOROTHIAZIDE 12.5MG ORAL,95
419,VITAMIN A AND D OINTMENT,,-1
420,VIVELLE-DOT 0.05MG PATCH,VIVELLE-DOT 0.05MG/24HR TRANSDERMAL,86
421,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
422,BRIMONIDINE 0.2% EYE DROP,,-1
423,ENOXAPARIN 100MG/ML SYRINGE,,-1
424,DILTIAZEM ER 120MG CAPSULE,,-1
425,HYDROXYZINE HCL 25MG TABLET,,-1
426,CHILD FLONASE ALLER RLF 50MCG,,-1
427,RISPERIDONE 0.5MG TABLET,RISPERIDONE 0.5MG ORAL,87
428,ESTAZOLAM 2MG TABLET,,-1
429,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
430,IFEREX 150 CAPSULE,,-1
431,NASAL FOUR 1% NASAL SPRAY,,-1
432,PIOGLITAZONE HCL 30MG TABLET,,-1
433,ONDANSETRON ODT 8MG TABLET,ONDANSETRON 8MG ORAL,86
434,HUMULIN R 500 UNITS/ML VIAL,HUMULIN R 10000 UNITS/20ML (500 UNITS/ML) SUBCUTANEOUS,90
435,FAMCICLOVIR 250MG TABLET,FAMCICLOVIR 250MG ORAL,87
436,METHYLPHENIDATE LA 30MG CAP,,-1
437,NADOLOL 40MG TABLET,,-1
438,LEVETIRACETAM 500MG TABLET,LEVETIRACETAM 500MG ORAL,88
439,ESZOPICLONE 2MG TABLET,ESZOPICLONE 2MG ORAL,86
440,ENALAPRIL MALEATE 10MG TABLET,ENALAPRIL MALEATE 10MG ORAL,90
441,PRAMIPEXOLE 0.75MG TABLET,,-1
442,TERBINAFINE HCL 250MG TABLET,,-1
443,DIFLUNISAL 500MG TABLET,DIFLUNISAL 500MG ORAL,86
444,BUSPIRONE HCL 30MG TABLET,,-1
445,IPRATROPIUM BR 0.02% SOLUTION,,-1
446,CANDESARTAN CILEXETIL 4MG TABLET,CANDESARTAN CILEXETIL 4MG ORAL,91
447,ACZONE 5% GEL,,-1
448,MUCUS RLF COLD-FLU-THROAT CPLT,,-1
449,SIMVASTATIN 40MG TABLET,SIMVASTATIN 40MG ORAL,86
450,VIORELE 28 DAY TABLET,,-1
451,MATZIM LA 360MG TABLET,,-1
452,LAMOTRIGINE ODT 200MG TABLET,LAMOTRIGINE 200MG ORAL,87
453,QUINAPRIL 20MG TABLET,,-1
454,LAMOTRIGINE ER 100MG TABLET,LAMOTRIGINE 100MG ORAL,87
455,ASPIRIN EC 81MG TABLET,,-1
456,PROPRANOLOL 80MG TABLET,,-1
457,ROPINIROLE HCL 4MG TABLET,,-1
458,BUDESONIDE 1MG/2ML INH SUSP,,-1
459,AMOXICILLIN 500MG CAPSULE,AMOXICILLIN 500MG ORAL,87
460,POLYETHYLENE GLYCOL 3350 POWD,POLYETHYLENE GLYCOL 3350 17GM/SCOOPFUL ORAL,91
461,URINARY PAIN RELIEF 97.5MG TB,,-1
462,AMRIX ER 15MG CAPSULE,,-1
463,MESALAMINE 800MG DR TABLET,MESALAMINE 800MG ORAL,86
464,SM PAIN RELIEVER PM GELTAB,,-1
465,DRONABINOL 5MG CAPSULE,,-1
466,QUETIAPINE FUMARATE 400MG TABLET,QUETIAPINE FUMARATE EQ 400MG BASE ORAL,88
467,LEVOXYL 200MCG TABLET,,-1
468,AMITRIPTYLINE HCL 10MG TABLET,,-1
469,DEXMETHYLPHENIDATE ER 20MG CP,DEXMETHYLPHENIDATE HYDROCHLORIDE 20MG ORAL,88
470,MICROGESTIN 21 1-20 TABLET,,-1
471,NYSTATIN-TRIAMCINOLONE OINTM,"NYSTATIN AND TRIAMCINOLONE ACETONIDE 100,000 UNITS/GM;0.1% TOPICAL",88
472,LEVONOR-ETH ESTRAD 0.1-0.02MG,,-1
473,CLOPIDOGREL 75MG TABLET,,-1
474,MECLIZINE 25MG TABLET,,-1
475,THIORIDAZINE 50MG TABLET,,-1
476,CELECOXIB 200MG CAPSULE,CELECOXIB 200MG ORAL,86
477,LISINOPRIL 20MG TABLET,LISINOPRIL 20MG ORAL,86
478,LEVETIRACETAM 750MG TABLET,LEVETIRACETAM 750MG ORAL,88
479,FENOFIBRATE 54MG TABLET,FENOFIBRATE 54MG ORAL,86
480,TRAZODONE 50MG TABLET,,-1
481,ANTI-DIARRHEAL 2MG TABLET,,-1
482,RISPERIDONE 3MG TABLET,RISPERIDONE 3MG ORAL,86
483,CYCLOBENZAPRINE 10MG TABLET,,-1
484,MECLIZINE 25MG TABLET,,-1
485,VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
486,LABETALOL HCL 300MG TABLET,,-1
487,CHILDREN IBUPROFEN 100MG/5ML,CHILDREN'S IBUPROFEN 100MG/5ML ORAL,100
488,CARBIDOPA-LEVODOPA 25-100 TABLET,,-1
489,NAPROXEN SODIUM 220MG TABLET,NAPROXEN SODIUM AND PSEUDOEPHEDRINE HYDROCHLORIDE EQ 220MG BASE;120MG ORAL,86
490,ORPHENADRINE ER 100MG TABLET,,-1
491,NIFEDIPINE ER 30MG TABLET,NIFEDIPINE 30MG ORAL,86
492,PROMETHAZINE 25MG TABLET,,-1
493,MILK OF MAGNESIA SUSPENSION,,-1
494,QUETIAPINE ER 400MG TABLET,,-1
495,HYDROMORPHONE 2MG TABLET,,-1
496,SM CHLD PAIN-FEVER 160MG/5ML,,-1
497,PHENYTOIN SOD EXT 100MG CAP,,-1
498,DULOXETINE HCL DR 60MG CAP,,-1
499,FOSINOPRIL SODIUM 10MG TABLET,FOSINOPRIL SODIUM 10MG ORAL,90
500,ESTRADIOL-NORETH 1-0.5MG TABLET,ESTRADIOL 0.5MG ORAL,86
501,ENALAPRIL MALEATE 10MG TABLET,ENALAPRIL MALEATE 10MG ORAL,90
502,CORTISPORIN OINTMENT,,-1
503,VALSARTAN 320MG TABLET,VALSARTAN 320MG ORAL,86
504,SKLICE 0.5% LOTION,,-1
505,LUZU 1% CREAM,,-1
506,UCERIS 9MG ER TABLET,,-1
507,AMOX-CLAV 600-42.9MG/5ML SUS,,-1
508,ATORVASTATIN 20MG TABLET,,-1
509,MYCOPHENOLATE 500MG TABLET,,-1
510,MIDODRINE HCL 10MG TABLET,,-1
511,TAZORAC 0.05% CREAM,,-1
512,CLONIDINE HCL 0.1MG TABLET,,-1
513,TOPIRAMATE 25MG TABLET,TOPIRAMATE 25MG ORAL,86
514,BETHANECHOL 5MG TABLET,,-1
515,RIVASTIGMINE 1.5MG CAPSULE,,-1
516,MILK OF MAGNESIA SUSPENSION,,-1
517,AZITHROMYCIN 250MG TABLET,,-1
518,BACLOFEN 20MG TABLET,,-1
519,DOXAZOSIN MESYLATE 2MG TABLET,DOXAZOSIN MESYLATE EQ 2MG BASE ORAL,86
520,FLUTICASONE PROP 0.05% CREAM,,-1
521,FINASTERIDE 5MG TABLET,FINASTERIDE 5MG ORAL,86
522,ARIPIPRAZOLE 20MG TABLET,ARIPIPRAZOLE 20MG ORAL,87
523,BUPROPION HCL 75MG TABLET,,-1
524,LYRICA 50MG CAPSULE,,-1
525,ALL DAY ALLERGY 10MG TABLET,,-1
526,ACAMPROSATE CALC DR 333MG TABLET,,-1
527,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
528,METHYLPHENIDATE ER(CD) 60MG CP,,-1
529,NAPROXEN SODIUM 550MG TABLET,,-1
530,ARMOUR THYROID 15MG TABLET,,-1
531,IPRATROPIUM 0.03% SPRAY,IPRATROPIUM BROMIDE 0.021MG/SPRAY NASAL,93
532,FEXOFENADINE HCL 180MG TABLET,,-1
533,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
534,DOXYCYCLINE MONO 50MG TABLET,,-1
535,NORETHINDRONE 0.35MG TABLET,,-1
536,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
537,NIACIN ER 500MG TABLET,,-1
538,VALACYCLOVIR HCL 500MG TABLET,,-1
539,GAS-X EX-STR 125MG TAB CHEWABLE,,-1
540,TRIAMTERENE-HYDROCHLOROTHIAZIDE 37.5-25MG TB,TRIAMTERENE AND HYDROCHLOROTHIAZIDE 25MG;37.5MG ORAL,94
541,JARDIANCE 25MG TABLET,,-1
542,EPLERENONE 50MG TABLET,EPLERENONE 50MG ORAL,86
543,PERCOCET 5-325MG TABLET,,-1
544,LISINOPRIL 2.5MG TABLET,LISINOPRIL 2.5MG ORAL,86
545,LORAZEPAM 2MG TABLET,,-1
546,ANTI-DIARRHEAL 2MG CAPLET,,-1
547,TORSEMIDE 5MG TABLET,,-1
548,SM ANTACID SUSPENSION,,-1
549,DILTIAZEM 24HR ER 360MG CAP,,-1
550,QUETIAPINE ER 150MG TABLET,,-1
551,LIDOCAINE HCL 2% JELLY,,-1
552,MATZIM LA 300MG TABLET,,-1
553,SIMVASTATIN 20MG TABLET,SIMVASTATIN 20MG ORAL,86
554,SYNTHROID 50MCG TABLET,,-1
555,FLUOCINONIDE 0.05% CREAM,,-1
556,ACARBOSE 25MG TABLET,,-1
557,SM STOOL SOFTENER 100MG SFTGL,,-1
558,CLOMIPRAMINE 25MG CAPSULE,,-1
559,ATORVASTATIN 20MG TABLET,,-1
560,TOPIRAMATE 50MG TABLET,TOPIRAMATE 50MG ORAL,86
561,TUMS ULTRA TABLET CHEWABLE,,-1
562,BEPREVE 1.5% EYE DROPS,,-1
563,HYDROMET SYRUP,,-1
564,ACID CONTROL 150MG TABLET,,-1
565,DOXAZOSIN MESYLATE 4MG TABLET,DOXAZOSIN MESYLATE EQ 4MG BASE ORAL,86
566,LEVOTHYROXINE 75MCG TABLET,,-1
567,ARIPIPRAZOLE 15MG TABLET,ARIPIPRAZOLE 15MG ORAL,87
568,NADOLOL 20MG TABLET,,-1
569,PROPRANOLOL ER 60MG CAPSULE,,-1
570,GS MILK OF MAGNESIA SUSPENSION,,-1
571,LIDOCAINE 2% VISCOUS SOLUTION,LIDOCAINE VISCOUS 2% ORAL,88
572,LORAZEPAM 2MG TABLET,,-1
573,FLUOXETINE HCL 20MG TABLET,,-1
574,METOCLOPRAMIDE 10MG TABLET,,-1
575,PRAMIPEXOLE 0.25MG TABLET,,-1
576,LOVASTATIN 40MG TABLET,LOVASTATIN 40MG ORAL,86
577,TIZANIDINE HCL 2MG TABLET,,-1
578,MINOXIDIL 10MG TABLET,,-1
579,PROPAFENONE HCL ER 225MG CAP,,-1
580,HYDRALAZINE 25MG TABLET,,-1
581,GLIMEPIRIDE 4MG TABLET,GLIMEPIRIDE 4MG ORAL,86
582,DEXTROAMP-AMPHETAMIN 30MG TABLET,,-1
583,RAMIPRIL 1.25MG CAPSULE,RAMIPRIL 1.25MG ORAL,86
584,GLYCOPYRROLATE 2MG TABLET,GLYCOPYRROLATE 2MG ORAL,88
585,OXICONAZOLE NITRATE 1% CREAM,OXICONAZOLE NITRATE EQ 1% BASE TOPICAL,88
586,LOVASTATIN 10MG TABLET,LOVASTATIN 10MG ORAL,86
587,BUPROPION HCL XL 300MG TABLET,,-1
588,CITRANATAL DHA PACK,,-1
589,IRBESARTAN-HYDROCHLOROTHIAZIDE 150-12.5MG TB,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
590,QUETIAPINE ER 300MG TABLET,,-1
591,GABAPENTIN 100MG CAPSULE,GABAPENTIN 100MG ORAL,86
592,OLMESARTAN-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
593,RAMIPRIL 2.5MG CAPSULE,,-1
594,RAYOS DR 5MG TABLET,,-1
595,FLUOXETINE HCL 10MG TABLET,,-1
596,SERTRALINE HCL 25MG TABLET,,-1
597,RAMIPRIL 10MG CAPSULE,,-1
598,ROSUVASTATIN CALCIUM 20MG TABLET,ROSUVASTATIN CALCIUM 20MG ORAL,91
599,DEXAMETHASONE 20MG/5ML VIAL,DEXAMETHASONE 0.5MG/5ML ORAL,87
600,STRATTERA 25MG CAPSULE,,-1
601,CHLORPROMAZINE 25MG TABLET,,-1
602,BENZTROPINE MES 1MG TABLET,,-1
603,BISAC-EVAC 10MG SUPPOSITORY,,-1
604,OMEPRAZOLE DR 10MG CAPSULE,OMEPRAZOLE 10MG ORAL,86
605,SM LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
606,PRAVASTATIN SODIUM 20MG TABLET,PRAVASTATIN SODIUM 20MG ORAL,90
607,FOLIC ACID 1MG TABLET,,-1
608,NICORETTE 4MG MINI LOZENGE,,-1
609,OSELTAMIVIR PHOS 75MG CAPSULE,,-1
610,VENLAFAXINE HCL ER 37.5MG CAP,,-1
611,BENAZEPRIL HCL 20MG TABLET,,-1
612,METFORMIN HCL 850MG TABLET,,-1
613,NORTREL 7-7-7-28 TABLET,,-1
614,NICOTINE 14MG/24HR PATCH,NICOTINE 14MG/24HR TRANSDERMAL,86
615,BUPROPION HCL XL 150MG TABLET,,-1
616,QUETIAPINE FUMARATE 100MG TABLET,QUETIAPINE FUMARATE EQ 100MG BASE ORAL,88
617,VALACYCLOVIR HCL 1 GRAM TABLET,,-1
618,FLUOXETINE HCL 10MG TABLET,,-1
619,AMLODIPINE-OLMESARTAN 5-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,96
620,MEMANTINE HCL 10MG TABLET,,-1
621,ALENDRONATE SODIUM 35MG TABLET,ALENDRONATE SODIUM EQ 35MG BASE ORAL,87
622,LORAZEPAM 2MG TABLET,,-1
623,PRAMIPEXOLE 1MG TABLET,,-1
624,CYCLOBENZAPRINE 10MG TABLET,,-1
625,CHLORPROMAZINE 50MG TABLET,,-1
626,DILTIAZEM 24HR ER 300MG CAP,,-1
627,QUETIAPINE FUMARATE 300MG TABLET,QUETIAPINE FUMARATE EQ 300MG BASE ORAL,88
628,METRONIDAZOLE TOPICAL 0.75% GL,METRONIDAZOLE 0.75% TOPICAL,100
629,FENTANYL 100MCG/HR PATCH,FENTANYL-100 100MCG/HR TRANSDERMAL,86
630,CALCIUM ACETATE 667MG CAPSULE,CALCIUM ACETATE 667MG ORAL,89
631,LEVOCARNITINE 1 G/10ML SOLUTION,,-1
632,PAIN RELIEF PM 25-500MG CPLT,,-1
633,CARVEDILOL 3.125MG TABLET,CARVEDILOL 3.125MG ORAL,88
634,FLUTICASONE PROP 0.05% CREAM,,-1
635,FLUOCINOLONE 0.01% SOLUTION,,-1
636,OXYCODONE HCL 30MG TABLET,,-1
637,OLMESARTAN-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
638,PHENTERMINE 15MG CAPSULE,,-1
639,BENZONATATE 100MG CAPSULE,BENZONATATE 100MG ORAL,87
640,HALOPERIDOL 2MG TABLET,HALOPERIDOL 2MG ORAL,86
641,BELSOMRA 10MG TABLET,,-1
642,PROPAFENONE HCL 150MG TABLET,,-1
643,RISPERIDONE 2MG TABLET,RISPERIDONE 2MG ORAL,86
644,THYROID 30MG TABLET,,-1
645,ALBUTEROL SULFATE 4MG TABLET,ALBUTEROL SULFATE EQ 4MG BASE ORAL,86
646,OFLOXACIN 0.3% EYE DROPS,,-1
647,ADAPALENE-BNZYL PEROX 0.1-2.5%,,-1
648,VENLAFAXINE HCL ER 225MG TABLET,,-1
649,BETHANECHOL 10MG TABLET,,-1
650,DONEPEZIL HCL 5MG TABLET,,-1
651,DOCUSIL 100MG SOFTGEL,,-1
652,OLMESARTAN-HYDROCHLOROTHIAZIDE 40-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
653,ARMODAFINIL 250MG TABLET,ARMODAFINIL 250MG ORAL,87
654,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
655,PERPHENAZINE 16MG TABLET,PERPHENAZINE 16MG ORAL,87
656,POTASSIUM CL ER 20 MEQ TABLET,,-1
657,MOMETASONE FUROATE 0.1% SOLUTION,,-1
658,LABETALOL HCL 200MG TABLET,,-1
659,BYVALSON 5MG-80MG TABLET,,-1
660,HYDRALAZINE 50MG TABLET,,-1
661,ACEPHEN 120MG SUPPOSITORY,,-1
662,ENOXAPARIN 80MG/0.8ML SYRINGE,,-1
663,LEVOTHYROXINE 125MCG TABLET,,-1
664,MESALAMINE 800MG DR TABLET,MESALAMINE 800MG ORAL,86
665,FLONASE ALLERGY RLF 50MCG SPR,,-1
666,CITALOPRAM HBR 20MG TABLET,,-1
667,12HR NASAL DECONGEST ER 120MG,,-1
668,POTASSIUM CITRATE ER 5 MEQ TABLET,,-1
669,NASAL SPRAY 0.05%,ALLERNAZE 0.05MG/SPRAY NASAL,90
670,LEVOFLOXACIN 250MG TABLET,LEVOFLOXACIN 250MG ORAL,88
671,DISULFIRAM 250MG TABLET,DISULFIRAM 250MG ORAL,86
672,LEVOTHYROXINE 137MCG TABLET,,-1
673,TRIHEXYPHENIDYL 5MG TABLET,,-1
674,SANDIMMUNE 25MG CAPSULE,SANDIMMUNE 25MG ORAL,86
675,TRAMADOL HCL 50MG TABLET,,-1
676,ZIPRASIDONE HCL 60MG CAPSULE,,-1
677,IRBESARTAN 300MG TABLET,IRBESARTAN 300MG ORAL,86
678,GLYBURIDE 5MG TABLET,,-1
679,PROPRANOLOL 40MG TABLET,,-1
680,MYCOPHENOLIC ACID DR 180MG TB,MYCOPHENOLIC ACID 180MG ORAL,90
681,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
682,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
683,THIORIDAZINE 25MG TABLET,,-1
684,SM TUSSIN CF SYRUP,,-1
685,FLUOXETINE HCL 10MG TABLET,,-1
686,CYPROHEPTADINE 4MG TABLET,,-1
687,MEMANTINE HCL 10MG TABLET,,-1
688,LANSOPRAZOLE DR 30MG CAPSULE,LANSOPRAZOLE 30MG ORAL,87
689,BYSTOLIC 2.5MG TABLET,,-1
690,CLEOCIN 75MG/5ML GRANULES,,-1
691,TROSPIUM CHLORIDE 20MG TABLET,TROSPIUM CHLORIDE 20MG ORAL,90
692,METFORMIN HCL 850MG TABLET,,-1
693,ALBUTEROL SULFATE 2MG TABLET,ALBUTEROL SULFATE EQ 2MG BASE/5ML ORAL,86
694,CLINDAMYCIN HCL 150MG CAPSULE,,-1
695,ROSUVASTATIN CALCIUM 20MG TABLET,ROSUVASTATIN CALCIUM 20MG ORAL,91
696,BISACODYL 10MG SUPPOSITORY,,-1
697,"METFORMIN HCL 1,000MG TABLET",,-1
698,ESTRADIOL 0.01% CREAM,,-1
699,PROGESTERONE OIL 50MG/ML VL,,-1
700,GLIPIZIDE-METFORMIN 2.5-250MG,GLIPIZIDE AND METFORMIN HYDROCHLORIDE 2.5MG;250MG ORAL,96
701,TOPIRAMATE 100MG TABLET,TOPIRAMATE 100MG ORAL,86
702,TUMS ULTRA TABLET CHEWABLE,,-1
703,LAMOTRIGINE 200MG TABLET,LAMOTRIGINE 200MG ORAL,87
704,ATORVASTATIN 40MG TABLET,,-1
705,NORETHINDRONE 5MG TABLET,,-1
706,PREMPRO 0.3MG-1.5MG TABLET,,-1
707,AFTERA 1.5MG TABLET,,-1
708,NECON 0.5-35-28 TABLET,,-1
709,CLOZAPINE 100MG TABLET,CLOZAPINE 100MG ORAL,86
710,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
711,DESIPRAMINE 100MG TABLET,,-1
712,METOPROLOL TARTRATE 50MG TABLET,METOPROLOL TARTRATE 50MG ORAL,91
713,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
714,SENNA 8.6MG TABLET,,-1
715,SIMVASTATIN 80MG TABLET,SIMVASTATIN 80MG ORAL,86
716,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
717,VERAPAMIL ER 120MG TABLET,,-1
718,CYPROHEPTADINE 4MG TABLET,,-1
719,NICORETTE 2MG CHEWING GUM,,-1
720,OLANZAPINE 20MG TABLET,OLANZAPINE 20MG ORAL,86
721,IBUPROFEN PM CAPLET,,-1
722,FENOFIBRATE 130MG CAPSULE,FENOFIBRATE 130MG ORAL,87
723,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
724,FLUOXETINE HCL 10MG CAPSULE,,-1
725,DOXYCYCLINE HYCLATE 100MG CAP,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,93
726,FLUOCINONIDE 0.05% OINTMENT,,-1
727,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
728,TRETINOIN 0.1% CREAM,,-1
729,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
730,CALCIPOTRIENE 0.005% CREAM,CALCIPOTRIENE 0.005% TOPICAL,86
731,DESVENLAFAXINE SUC ER 100MG,DESVENLAFAXINE 100MG ORAL,89
732,DEXTROAMP-AMPHETAMINE 5MG TABLET,,-1
733,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
734,DOXAZOSIN MESYLATE 1MG TABLET,DOXAZOSIN MESYLATE EQ 1MG BASE ORAL,86
735,ARIPIPRAZOLE 10MG TABLET,ARIPIPRAZOLE 10MG ORAL,87
736,DIGOXIN 125MCG TABLET,,-1
737,TRIMETHOPRIM 100MG TABLET,TRIMETHOPRIM 100MG ORAL,88
738,PHENOBARBITAL 32.4MG TABLET,,-1
739,METAXALONE 800MG TABLET,METAXALONE 800MG ORAL,86
740,TRETINOIN 0.01% GEL,TRETINOIN 0.01% TOPICAL,88
741,OXYBUTYNIN CL ER 10MG TABLET,,-1
742,GEMFIBROZIL 600MG TABLET,GEMFIBROZIL 600MG ORAL,87
743,ATORVASTATIN 80MG TABLET,,-1
744,AMOX-CLAV 875-125MG TABLET,,-1
745,LOVASTATIN 40MG TABLET,LOVASTATIN 40MG ORAL,86
746,PIOGLITAZONE HCL 15MG TABLET,,-1
747,SILDENAFIL 20MG TABLET,,-1
748,RAMIPRIL 10MG CAPSULE,,-1
749,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
750,ARIPIPRAZOLE 20MG TABLET,ARIPIPRAZOLE 20MG ORAL,87
751,VENLAFAXINE HCL ER 75MG CAP,,-1
752,BUSPIRONE HCL 30MG TABLET,,-1
753,FENTANYL 12MCG/HR PATCH,,-1
754,PROMETHAZINE 6.25MG/5ML SYRP,PHENYLEPHRINE HYDROCHLORIDE AND PROMETHAZINE HYDROCHLORIDE 5MG/5ML;6.25MG/5ML ORAL,90
755,DICLOFENAC-MISOPROST 50-200 TB,,-1
756,DILTIAZEM 24HR ER 180MG CAP,,-1
757,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
758,AMLODIPINE-OLMESARTAN 10-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,95
759,ROSUVASTATIN CALCIUM 10MG TABLET,ROSUVASTATIN CALCIUM 10MG ORAL,91
760,PHENOBARBITAL 60MG TABLET,,-1
761,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
762,DICLOFENAC SOD DR 50MG TABLET,,-1
763,SM ALLERGY RELIEF 50MCG SPRAY,,-1
764,LITHIUM CARBONATE 300MG CAP,LITHIUM CARBONATE 300MG ORAL,92
765,PAROXETINE HCL 10MG TABLET,,-1
766,DILTIAZEM 30MG TABLET,,-1
767,LORAZEPAM 2MG TABLET,,-1
768,TRAMADOL ER 100MG TABLET,,-1
769,RIOMET 500MG/5ML SOLUTION,RIOMET 500MG/5ML ORAL,86
770,DEXAMETHASONE 1.5MG TABLET,DEXAMETHASONE 1.5MG ORAL,88
771,DOXAZOSIN MESYLATE 8MG TABLET,DOXAZOSIN MESYLATE EQ 8MG BASE ORAL,86
772,DIVALPROEX SOD ER 250MG TABLET,,-1
773,AMIODARONE HCL 200MG TABLET,,-1
774,FYCOMPA 6MG TABLET,,-1
775,LUTERA-28 TABLET,,-1
776,DESMOPRESSIN ACETATE 0.1MG TB,DESMOPRESSIN ACETATE 0.1MG ORAL,95
777,DORZOLAMIDE HCL 2% EYE DROPS,,-1
778,CLINDAMYCIN 2% VAGINAL CREAM,CLINDAMYCIN PHOSPHATE EQ 2% BASE VAGINAL,88
779,FLUCONAZOLE 10MG/ML SUSP,,-1
780,QUINAPRIL-HYDROCHLOROTHIAZIDE 10-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
781,BETAMETHASONE DP AUG 0.05% OIN,,-1
