,ndc_description_agg
15959,DOXORUBICIN HYDROCHLORIDE 50MG/VIAL INJECTION
15960,DOXORUBICIN HYDROCHLORIDE 200MG/100ML INJECTION
15961,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15962,DOXORUBICIN HYDROCHLORIDE 10MG/VIAL INJECTION
15963,DOXORUBICIN HYDROCHLORIDE 20MG/VIAL INJECTION
15964,DOXORUBICIN HYDROCHLORIDE 50MG/VIAL INJECTION
15965,DOXORUBICIN HYDROCHLORIDE 150MG/VIAL INJECTION
15966,DOXORUBICIN HYDROCHLORIDE 150MG/75ML INJECTION
15967,DOXORUBICIN HYDROCHLORIDE 200MG/100ML INJECTION
15968,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15969,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15970,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15971,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15972,DOXORUBICIN HYDROCHLORIDE 200MG/100ML INJECTION
15973,DOXORUBICIN HYDROCHLORIDE 2MG/ML INJECTION
15974,DOXORUBICIN HYDROCHLORIDE 10MG/VIAL INJECTION
15975,DOXORUBICIN HYDROCHLORIDE 20MG/VIAL INJECTION
15976,DOXORUBICIN HYDROCHLORIDE 50MG/VIAL INJECTION
15977,DOXORUBICIN HYDROCHLORIDE 200MG/100ML INJECTION
15978,DOXY 100 EQ 100MG BASE/VIAL INJECTION
15979,DOXY 200 EQ 200MG BASE/VIAL INJECTION
15980,DOXYCHEL HYCLATE EQ 100MG BASE/VIAL INJECTION
15981,DOXYCYCLINE EQ 100MG BASE/VIAL INJECTION
15982,DOXYCYCLINE EQ 100MG BASE/VIAL INJECTION
15983,DOXYCYCLINE EQ 100MG BASE/VIAL INJECTION
15984,DOXYCYCLINE EQ 200MG BASE/VIAL INJECTION
15985,DOXYCYCLINE EQ 200MG BASE/VIAL INJECTION
15986,DOXYCYCLINE EQ 100MG BASE/VIAL INJECTION
15987,DOXYCYCLINE EQ 200MG BASE/VIAL INJECTION
15988,DOXYCYCLINE HYCLATE EQ 100MG BASE/VIAL INJECTION
15989,DOXYCYCLINE HYCLATE EQ 200MG BASE/VIAL INJECTION
15990,
15991,
15992,DROLBAN 50MG/ML INJECTION
15993,DROPERIDOL 2.5MG/ML INJECTION
15994,DROPERIDOL 2.5MG/ML INJECTION
15995,DROPERIDOL 2.5MG/ML INJECTION
15996,DROPERIDOL 2.5MG/ML INJECTION
15997,DROPERIDOL 2.5MG/ML INJECTION
15998,DROPERIDOL 2.5MG/ML INJECTION
15999,DROPERIDOL 2.5MG/ML INJECTION
16000,DROPERIDOL 2.5MG/ML INJECTION
16001,DROPERIDOL 2.5MG/ML INJECTION
16002,DROPERIDOL 2.5MG/ML INJECTION
16003,DROPERIDOL 2.5MG/ML INJECTION
16004,DROPERIDOL 2.5MG/ML INJECTION
16005,DROPERIDOL 2.5MG/ML INJECTION
16006,DROPERIDOL 2.5MG/ML INJECTION
16007,DROPERIDOL 2.5MG/ML INJECTION
16008,DROPERIDOL 2.5MG/ML INJECTION
16009,DROPERIDOL 2.5MG/ML INJECTION
16010,DROPERIDOL 2.5MG/ML INJECTION
16011,DTIC-DOME 100MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16012,DTIC-DOME 200MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16013,
16014,DUOCAINE EQ 0.375% (37.5MG/10ML);EQ 1% (100MG/10ML) INJECTION
16015,DURABOLIN 25MG/ML INJECTION
16016,DURABOLIN 50MG/ML INJECTION
16017,"DURACILLIN A.S. 300,000 UNITS/ML INJECTION"
16018,DURACLON 1MG/10ML (0.1MG/ML) INJECTION
16019,DURACLON 5MG/10ML (0.5MG/ML) INJECTION
16020,DURAMORPH PF 0.5MG/ML INJECTION
16021,DURAMORPH PF 1MG/ML INJECTION
16022,DURANEST 0.005MG/ML;0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16023,DURANEST 0.005MG/ML;1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16024,DURANEST 0.005MG/ML;1.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16025,DURANEST 0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16026,DURANEST 1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16027,DURANEST 0.005MG/ML;1.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16028,EDECRIN EQ 50MG BASE/VIAL INJECTION
16029,EDEX 0.005MG/VIAL INJECTION
16030,EDEX 0.01MG/VIAL INJECTION
16031,EDEX 0.01MG/VIAL INJECTION
16032,EDEX 0.02MG/VIAL INJECTION
16033,EDEX 0.02MG/VIAL INJECTION
16034,EDEX 0.04MG/VIAL INJECTION
16035,EDEX 0.04MG/VIAL INJECTION
16036,EDROPHONIUM CHLORIDE 10MG/ML INJECTION
16037,EDROPHONIUM CHLORIDE 10MG/ML INJECTION
16038,EDROPHONIUM CHLORIDE PRESERVATIVE FREE 10MG/ML INJECTION
16039,ELAVIL 10MG/ML INJECTION
16040,ELLENCE 200MG/100ML (2MG/ML) INJECTION
16041,ELLENCE 50MG/25ML (2MG/ML) INJECTION
16042,"EMBOLEX 0.5MG/0.5ML;2,500 UNITS/0.5ML;5.33MG/0.5ML INJECTION"
16043,"EMBOLEX 0.5MG/0.7ML;5,000 UNITS/0.7ML;7.46MG/0.7ML INJECTION"
16044,EMETE-CON EQ 50MG BASE/VIAL INJECTION
16045,ENALAPRILAT 1.25MG/ML INJECTION
16046,ENALAPRILAT 1.25MG/ML INJECTION
16047,ENALAPRILAT 1.25MG/ML INJECTION
16048,ENALAPRILAT 1.25MG/ML INJECTION
16049,ENALAPRILAT 1.25MG/ML INJECTION
16050,ENALAPRILAT 1.25MG/ML INJECTION
16051,ENLON 10MG/ML INJECTION
16052,ENLON-PLUS 0.14MG/ML;10MG/ML INJECTION
16053,ENLON-PLUS 0.14MG/ML;10MG/ML INJECTION
16054,EPIRUBICIN HYDROCHLORIDE 10MG/5ML (2MG/ML) INJECTION
16055,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16056,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16057,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16058,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16059,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16060,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16061,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16062,EPIRUBICIN HYDROCHLORIDE 10MG/5ML (2MG/ML) INJECTION
16063,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16064,EPIRUBICIN HYDROCHLORIDE 150MG/75ML (2MG/ML) INJECTION
16065,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16066,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16067,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16068,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16069,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16070,EPIRUBICIN HYDROCHLORIDE 10MG/5ML (2MG/ML) INJECTION
16071,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16072,EPIRUBICIN HYDROCHLORIDE 150MG/75ML (2MG/ML) INJECTION
16073,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16074,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16075,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16076,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16077,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16078,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16079,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16080,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16081,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16082,EPIRUBICIN HYDROCHLORIDE 50MG/25ML (2MG/ML) INJECTION
16083,EPIRUBICIN HYDROCHLORIDE 200MG/100ML (2MG/ML) INJECTION
16084,EPOPROSTENOL SODIUM EQ 0.5MG BASE/VIAL INJECTION
16085,EPOPROSTENOL SODIUM EQ 1.5MG BASE/VIAL INJECTION
16086,EPTIFIBATIDE 2MG/ML INJECTION
16087,EPTIFIBATIDE 75MG/100ML INJECTION
16088,EPTIFIBATIDE 2MG/ML INJECTION
16089,EPTIFIBATIDE 75MG/100ML INJECTION
16090,EPTIFIBATIDE 2MG/ML INJECTION
16091,EPTIFIBATIDE 75MG/100ML INJECTION
16092,EPTIFIBATIDE 2MG/ML INJECTION
16093,EPTIFIBATIDE 75MG/100ML INJECTION
16094,EPTIFIBATIDE 2MG/ML INJECTION
16095,EPTIFIBATIDE 75MG/100ML INJECTION
16096,EPTIFIBATIDE 2MG/ML INJECTION
16097,EPTIFIBATIDE 75MG/100ML INJECTION
16098,EPTIFIBATIDE 2MG/ML INJECTION
16099,EPTIFIBATIDE 75MG/100ML INJECTION
16100,EPTIFIBATIDE 2MG/ML INJECTION
16101,EPTIFIBATIDE 75MG/100ML INJECTION
16102,EPTIFIBATIDE 2MG/ML INJECTION
16103,EPTIFIBATIDE 75MG/100ML INJECTION
16104,EPTIFIBATIDE 2MG/ML INJECTION
16105,EPTIFIBATIDE 2MG/ML INJECTION
16106,EPTIFIBATIDE 75MG/100ML INJECTION
16107,ERYTHROCIN EQ 1GM BASE/VIAL INJECTION
16108,ERYTHROCIN EQ 500MG BASE/VIAL INJECTION
16109,ERYTHROCIN EQ 1GM BASE/VIAL INJECTION
16110,ERYTHROCIN EQ 1GM BASE/VIAL INJECTION
16111,ERYTHROCIN EQ 1GM BASE/VIAL INJECTION
16112,ERYTHROCIN EQ 500MG BASE/VIAL INJECTION
16113,ERYTHROCIN EQ 500MG BASE/VIAL INJECTION
16114,ERYTHROCIN EQ 500MG BASE/VIAL INJECTION
16115,ERYTHROMYCIN EQ 1GM BASE/VIAL INJECTION
16116,ERYTHROMYCIN EQ 500MG BASE/VIAL INJECTION
16117,ERYTHROMYCIN LACTOBIONATE EQ 1GM BASE/VIAL INJECTION
16118,ERYTHROMYCIN LACTOBIONATE EQ 500MG BASE/VIAL INJECTION
16119,ERYTHROMYCIN LACTOBIONATE EQ 1GM BASE/VIAL INJECTION
16120,ERYTHROMYCIN LACTOBIONATE EQ 500MG BASE/VIAL INJECTION
16121,ERYTHROMYCIN LACTOBIONATE EQ 1GM BASE/VIAL INJECTION
16122,ERYTHROMYCIN LACTOBIONATE EQ 500MG BASE/VIAL INJECTION
16123,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16124,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16125,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16126,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16127,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16128,ESMOLOL HYDROCHLORIDE 20MG/ML INJECTION
16129,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16130,ESMOLOL HYDROCHLORIDE 20MG/ML INJECTION
16131,ESMOLOL HYDROCHLORIDE 10MG/ML INJECTION
16132,ESTRADIOL CYPIONATE 5MG/ML INJECTION
16133,ESTRADIOL VALERATE 20MG/ML INJECTION
16134,ESTRADIOL VALERATE 40MG/ML INJECTION
16135,ESTRADIOL VALERATE 10MG/ML INJECTION
16136,ESTRADIOL VALERATE 20MG/ML INJECTION
16137,ESTRADIOL VALERATE 40MG/ML INJECTION
16138,ESTRADIOL VALERATE 20MG/ML INJECTION
16139,ESTRADIOL VALERATE 40MG/ML INJECTION
16140,ESTRADIOL VALERATE 10MG/ML INJECTION
16141,ESTRADURIN 40MG/AMP INJECTION
16142,ESTROGENIC SUBSTANCE 2MG/ML INJECTION
16143,ESTRONE 5MG/ML INJECTION
16144,ESTRONE 2MG/ML INJECTION
16145,ETHACRYNATE SODIUM EQ 50MG BASE/VIAL INJECTION
16146,ETHACRYNATE SODIUM EQ 50MG BASE/VIAL INJECTION
16147,ETHACRYNATE SODIUM EQ 50MG BASE/VIAL INJECTION
16148,ETHAMOLIN 50MG/ML INJECTION
16149,ETHYOL 375MG/VIAL INJECTION
16150,ETHYOL 500MG/VIAL INJECTION
16151,ETOMIDATE 2MG/ML INJECTION
16152,ETOMIDATE 2MG/ML INJECTION
16153,ETOMIDATE 2MG/ML INJECTION
16154,ETOMIDATE 2MG/ML INJECTION
16155,ETOMIDATE 2MG/ML INJECTION
16156,ETOMIDATE 2MG/ML INJECTION
16157,ETOMIDATE 2MG/ML INJECTION
16158,ETOMIDATE 2MG/ML INJECTION
16159,ETOMIDATE 2MG/ML INJECTION
16160,ETOMIDATE 2MG/ML INJECTION
16161,ETOPOPHOS PRESERVATIVE FREE EQ 1GM BASE/VIAL INJECTION
16162,ETOPOPHOS PRESERVATIVE FREE EQ 500MG BASE/VIAL INJECTION
16163,ETOPOPHOS PRESERVATIVE FREE EQ 100MG BASE/VIAL INJECTION
16164,ETOPOSIDE 20MG/ML INJECTION
16165,ETOPOSIDE 20MG/ML INJECTION
16166,ETOPOSIDE 20MG/ML INJECTION
16167,ETOPOSIDE 20MG/ML INJECTION
16168,ETOPOSIDE 20MG/ML INJECTION
16169,ETOPOSIDE 20MG/ML INJECTION
16170,ETOPOSIDE 20MG/ML INJECTION
16171,ETOPOSIDE 20MG/ML INJECTION
16172,ETOPOSIDE 20MG/ML INJECTION
16173,ETOPOSIDE 20MG/ML INJECTION
16174,ETOPOSIDE 20MG/ML INJECTION
16175,ETOPOSIDE 20MG/ML INJECTION
16176,ETOPOSIDE 20MG/ML INJECTION
16177,ETOPOSIDE 20MG/ML INJECTION
16178,EVANS BLUE 0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16179,FACTREL EQ 0.1MG BASE/VIAL INJECTION
16180,FACTREL EQ 0.2MG BASE/VIAL INJECTION
16181,FACTREL EQ 0.5MG BASE/VIAL INJECTION
16182,FAMOTIDINE 10MG/ML INJECTION
16183,FAMOTIDINE 10MG/ML INJECTION
16184,FAMOTIDINE 10MG/ML INJECTION
16185,FAMOTIDINE 10MG/ML INJECTION
16186,FAMOTIDINE 10MG/ML INJECTION
16187,FAMOTIDINE 10MG/ML INJECTION
16188,FAMOTIDINE 10MG/ML INJECTION
16189,FAMOTIDINE 10MG/ML INJECTION
16190,FAMOTIDINE 10MG/ML INJECTION
16191,FAMOTIDINE 10MG/ML INJECTION
16192,FAMOTIDINE 10MG/ML INJECTION
16193,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16194,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16195,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16196,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16197,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16198,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16199,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16200,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16201,FAMOTIDINE PRESERVATIVE FREE 10MG/ML INJECTION
16202,FAMOTIDINE PRESERVATIVE FREE (PHARMACY BULK) 10MG/ML INJECTION
16203,FAMOTIDINE PRESERVATIVE FREE IN PLASTIC CONTAINER 0.4MG/ML INJECTION
16204,FAMOTIDINE PRESERVATIVE FREE IN PLASTIC CONTAINER 0.4MG/ML INJECTION
16205,FENOLDOPAM MESYLATE EQ 10MG BASE/ML INJECTION
16206,FENOLDOPAM MESYLATE EQ 10MG BASE/ML INJECTION
16207,FENOLDOPAM MESYLATE EQ 10MG BASE/ML INJECTION
16208,FENOLDOPAM MESYLATE EQ 10MG BASE/ML INJECTION
16209,FENTANYL CITRATE EQ 0.05MG BASE/ML INJECTION
16210,FENTANYL CITRATE EQ 0.05MG BASE/ML INJECTION
16211,FENTANYL CITRATE EQ 0.05MG BASE/ML INJECTION
16212,FENTANYL CITRATE EQ 0.05MG BASE/ML INJECTION
16213,FENTANYL CITRATE AND DROPERIDOL 2.5MG/ML;EQ 0.05MG BASE/ML INJECTION
16214,FENTANYL CITRATE AND DROPERIDOL 2.5MG/ML;EQ 0.05MG BASE/ML INJECTION
16215,FENTANYL CITRATE AND DROPERIDOL 2.5MG/ML;EQ 0.05MG BASE/ML INJECTION
16216,FENTANYL CITRATE AND DROPERIDOL 2.5MG/ML;EQ 0.05MG BASE/ML INJECTION
16217,FENTANYL CITRATE PRESERVATIVE FREE EQ 0.05MG BASE/ML INJECTION
16218,FENTANYL CITRATE PRESERVATIVE FREE EQ 0.05MG BASE/ML INJECTION
16219,FENTANYL CITRATE PRESERVATIVE FREE EQ 0.05MG BASE/ML INJECTION
16220,FENTANYL CITRATE PRESERVATIVE FREE EQ 0.05MG BASE/ML INJECTION
16221,FERIDEX I.V. EQ 11.2MG IRON/ML INJECTION
16222,FERRLECIT 62.5MG/5ML INJECTION
16223,FERROUS CITRATE FE 59 25uCi/ML INJECTION
16224,FLAGYL I.V. EQ 500MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16225,FLAGYL I.V. RTU IN PLASTIC CONTAINER 500MG/100ML INJECTION
16226,FLAGYL I.V. RTU IN PLASTIC CONTAINER 500MG/100ML INJECTION
16227,FLAXEDIL 20MG/ML INJECTION
16228,FLAXEDIL 100MG/ML INJECTION
16229,FLOLAN EQ 0.5MG BASE/VIAL INJECTION
16230,FLOLAN EQ 1.5MG BASE/VIAL INJECTION
16231,FLOXIN 20MG/ML INJECTION
16232,FLOXIN 40MG/ML INJECTION
16233,FLOXIN IN DEXTROSE 5% 400MG/100ML INJECTION
16234,FLOXIN IN DEXTROSE 5% IN PLASTIC CONTAINER 4MG/ML INJECTION
16235,FLOXIN IN DEXTROSE 5% IN PLASTIC CONTAINER 400MG/100ML INJECTION
16236,FLOXURIDINE 500MG/VIAL INJECTION
16237,FLOXURIDINE 500MG/VIAL INJECTION
16238,FLOXURIDINE 500MG/VIAL INJECTION
16239,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16240,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16241,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16242,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16243,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16244,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16245,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16246,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16247,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 200MG/100ML (2MG/ML) INJECTION
16248,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 400MG/200ML (2MG/ML) INJECTION
16249,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 200MG/100ML (2MG/ML) INJECTION
16250,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 400MG/200ML (2MG/ML) INJECTION
16251,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 200MG/100ML (2MG/ML) INJECTION
16252,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 400MG/200ML (2MG/ML) INJECTION
16253,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 200MG/100ML (2MG/ML) INJECTION
16254,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 100MG/50ML (2MG/ML) INJECTION
16255,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 200MG/100ML (2MG/ML) INJECTION
16256,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% 400MG/200ML (2MG/ML) INJECTION
16257,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16258,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16259,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16260,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16261,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16262,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16263,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16264,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16265,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16266,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16267,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16268,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16269,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16270,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16271,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 100MG/50ML (2MG/ML) INJECTION
16272,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16273,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16274,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 200MG/100ML (2MG/ML) INJECTION
16275,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER 400MG/200ML (2MG/ML) INJECTION
16276,FLUDARA 50MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16277,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16278,FLUDARABINE PHOSPHATE 50MG/VIAL INJECTION
16279,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16280,FLUDARABINE PHOSPHATE 50MG/VIAL INJECTION
16281,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16282,FLUDARABINE PHOSPHATE 50MG/VIAL INJECTION
16283,FLUDARABINE PHOSPHATE 50MG/VIAL INJECTION
16284,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16285,FLUDARABINE PHOSPHATE 50MG/VIAL INJECTION
16286,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16287,FLUDARABINE PHOSPHATE 50MG/2ML (25MG/ML) INJECTION
16288,FLUDEOXYGLUCOSE F18 4-40mCi/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16289,FLUDEOXYGLUCOSE F18 4-90mCi/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INJECTION
16290,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16291,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16292,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16293,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16294,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16295,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16296,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16297,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16298,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16299,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16300,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16301,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16302,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16303,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16304,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16305,FLUMAZENIL 0.5MG/5ML (0.1MG/ML) INJECTION
16306,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16307,FLUMAZENIL 1MG/10ML (0.1MG/ML) INJECTION
16308,FLUOROURACIL 50MG/ML INJECTION
16309,FLUOROURACIL 50MG/ML INJECTION
16310,FLUOROURACIL 50MG/ML INJECTION
16311,FLUOROURACIL 50MG/ML INJECTION
16312,FLUOROURACIL 1GM/20ML (50MG/ML) INJECTION
16313,FLUOROURACIL 2.5GM/50ML (50MG/ML) INJECTION
16314,FLUOROURACIL 5GM/100ML (50MG/ML) INJECTION
16315,FLUOROURACIL 500MG/10ML (50MG/ML) INJECTION
16316,FLUOROURACIL 50MG/ML INJECTION
16317,FLUOROURACIL 500MG/10ML (50MG/ML) INJECTION
16318,FLUOROURACIL 1GM/20ML (50MG/ML) INJECTION
16319,FLUOROURACIL 2.5GM/50ML (50MG/ML) INJECTION
16320,FLUOROURACIL 5GM/100ML (50MG/ML) INJECTION
16321,FLUOROURACIL 50MG/ML INJECTION
16322,FLUOROURACIL 50MG/ML INJECTION
16323,FLUOROURACIL 500MG/10ML (50MG/ML) INJECTION
16324,FLUOROURACIL 1GM/20ML (50MG/ML) INJECTION
16325,FLUOROURACIL 2.5GM/50ML (50MG/ML) INJECTION
16326,FLUOROURACIL 5GM/100ML (50MG/ML) INJECTION
16327,FLUOROURACIL 500MG/10ML (50MG/ML) INJECTION
16328,FLUOROURACIL 50MG/ML INJECTION
16329,FLUOROURACIL 1GM/20ML (50MG/ML) INJECTION
16330,FLUOROURACIL 2.5GM/50ML (50MG/ML) INJECTION
16331,FLUOROURACIL 5GM/100ML (50MG/ML) INJECTION
16332,FLUOROURACIL 500MG/10ML (50MG/ML) INJECTION
16333,FLUOROURACIL 1GM/20ML (50MG/ML) INJECTION
